"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.674281752493172,0.0543241719182551,0.32274434743485,0.250614946189711,0.655480341962715,0.0492445910444077,0.996706624625622,0.00839053028074359,0.532902392178095,0.383559101297035,0.976665042821491,0.0723992550280181,0.538191575575251,0.102046161704219,1.75633188510764,0.584034858713255,20.896617321571,2.53247161659807,0.529166654471334,0.0300852296930378
"East Delta",0.441448312856616,0.0444791655058593,0.257559421629131,0.162862656198836,0.369326006167378,0.0849222761252136,1,0,0.605379581115454,0.326666068533058,0.831497368774984,0.143583990741981,0.0282565855487956,0.0582456999893428,0.0816344604068755,0.00232371460596803,20.4750639561889,3.47787171775905,0.234837627119891,0.0110464997854604
"Lower Sacramento River",0.646186374859396,0.0415582880337765,0.319123574024976,0.286752335365296,0.634185064505974,0.0303931971120206,1,0,0.519287002392835,0.435040120374532,0.979203055318573,0.0618792419986517,0.403405631751279,0.079891442791858,0.560220949807145,0.213195197764054,20.6634877072738,2.91276734209848,0.481621698921686,0.0226027588901271
"Lower San Joaquin River",0.48135330626025,0.0792241257699867,0.173906000629216,0.240756964354168,0.381755688585825,0.164566238937718,1,0,0.336336161348992,0.460991833215259,0.725978195501745,0.29752282814924,0.107311420202412,0.137839753006505,0.290771702125531,0.104222248947559,21.9686237101614,3.16162921659165,0.3301282902713,0.0137966702037545
"NE Suisun",0.588824772811917,0.151541707933918,0.335124502396074,0.15495904098334,0.581987510804967,0.13936280950855,0.638975272437501,0.216089154931202,0.643969255882175,0.336616497627814,0.993210613838438,0.0210550023811465,0.800319378756069,0.131430813448553,5.61966443548652,1.09561534383194,20.7956165037984,2.25528169971441,0.464858963544309,0.0202055964399136
"NW Suisun",0.404105800385412,0.134534774989294,0.232489037938519,0.08005335598612,0.395972808540712,0.119625133745886,0.242969717940021,0.25295353577395,0.733350575982715,0.262473626181243,0.992350732532297,0.0235843427944953,0.830477757162049,0.132996704385709,8.34894250360892,1.10040654204123,20.0259794616887,2.3990409495362,0.46374488510347,0.0319503469698731
"SE Suisun",0.410727240507312,0.11026632420959,0.214762574405451,0.123100934276661,0.406313109898247,0.101918874891317,0.522219125629153,0.132219811061648,0.609203306247254,0.380761630500875,0.994252080070388,0.0181259985194298,0.694862052365929,0.146975533291656,6.49432248933635,1.10418337123735,20.878675099437,2.29754943913227,0.826933021942436,0.0395212005938836
"SW Suisun",0.155060290058012,0.0195005228331361,0.110499692144007,0.0520574418904905,0.154922795250811,0.0193809960821929,0.00959995285404897,0.0117712393694062,0.738421062016155,0.33849225071594,0.999120147673229,0.00278233735719367,0.670518645396898,0.129670966886147,13.9533981046732,1.16361072615336,20.4990331181688,2.32378292719168,0.889992193083885,0.0583357334103927
"Sacramento River",0.421553783772974,0.0162698575510652,0.340176659573785,0.080965539726431,0.420270714681783,0.0152959451095961,1,0,0.913025300514875,0.0958694446315061,0.993918612996897,0.00611669632132207,0.0143972665518051,0.0228592596702024,0.0788207296924786,0.000979765204706338,18.6807883783376,3.11542426607326,0.531836932360668,0.0344355135543394
"South Delta",0.479287704569908,0.0496787592958404,0.173663663409824,0.21467534499743,0.265081171311178,0.17501259428749,1,0,0.369302536776827,0.438676091199944,0.54866829003534,0.349053751797964,0.122474734407577,0.0727588301989312,0.192945816040742,0.0198354709101072,22.1615174419222,3.63983641107011,0.251852771035119,0.0191918952599442
"Suisun Marsh",0.633245333093085,0.199632643384863,0.306523621790129,0.179101816998525,0.589283438481963,0.148652222348439,0.655726450409581,0.245132313345194,0.577437845796869,0.325190541291523,0.950624678460358,0.114660824439351,0.770306336950584,0.0883971958010426,5.33340006564503,0.653154123187788,20.5690661627771,2.64136643538254,0.342176281880674,0.0233455450980896
"Yolo Bypass",0.547585418550448,0.0119143999104372,0.210971737981544,0.187678916442653,0.3451350376989,0.136882513667688,1,0,0.402277571174095,0.396251801507602,0.692499219078801,0.255824334776449,0.223684522584499,0.0196347189678146,0.108093512639072,0.0059513232383241,21.5732283341446,3.64059322296418,0.22797767123501,0.0105607426149242
"SummerFall",0.589454815207766,0.162554803660138,0.295220145297119,0.20912552627958,0.568730413372841,0.141292810297952,0.723850698243806,0.357458045864389,0.590744454087629,0.354054301265286,0.97471087728318,0.0740961340871625,0.635595325359791,0.201019317592364,3.99972385104218,3.17760719729231,20.5387876633276,2.54570212902434,0.454177380094291,0.0745860808368553
"Delta",0.490305007518209,0.164845389432856,0.249795402779792,0.188051299675637,0.433309473990871,0.182700350093134,0.755516428657994,0.353075783827396,0.581741049285528,0.379286325765878,0.889832336425212,0.214534121005561,0.433683825604429,0.323179071752661,3.56821222121412,4.32494654858812,20.7656414329558,2.90901292162547,0.464593915914149,0.208563758707345
