"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.500972288072093,0.19001070447445,0.113636209052614,0.151012100556399,0.289955459561068,0.18944524026382,0.714210869503879,0.254154052905756,0.358857832228222,0.461826543869488,0.686965577232413,0.377226757946802,0.535656194303298,0.104408083728831,4.33532128019946,2.36254863690871,21.8267171330394,3.18657722449863,0.514098783081149,0.0353750014212598
"East Delta",0.441516418821932,0.0445231960804768,0.241037622419689,0.174715828526175,0.345803545767348,0.111211590674567,1,0,0.575489236373541,0.357434519387497,0.787861710310907,0.205922344750465,0.0282492329417524,0.0582235265298546,0.087157848415007,0.00361064776574198,20.5879618423714,3.77786958425546,0.229335937704628,0.0152729184861789
"Lower Sacramento River",0.627048484784414,0.0688244447708774,0.209775152098254,0.272514981421619,0.449904542820716,0.216315627109862,0.960536921661986,0.0566925445101715,0.368693369786413,0.460965447440245,0.720119217276565,0.354554679209583,0.403633261348113,0.0796804625877705,1.88445103571612,1.22357986559078,21.5947941906471,3.4034852784762,0.472053429052378,0.0237295941949493
"Lower San Joaquin River",0.481319347909893,0.0791868327173415,0.170109785198964,0.245670410425612,0.235227417553202,0.230924885218137,0.999440964133788,0.00125577510497978,0.33810481086509,0.47076897857957,0.447335989647807,0.450999638861432,0.106611862597227,0.137927710198352,0.793129895671911,0.454206297035903,22.7029994199932,3.81711505697741,0.328630832238722,0.014269665576861
"NE Suisun",0.42376806337585,0.249577645731555,0.103713621537134,0.128460558569142,0.353132880029648,0.239057456926139,0.223064159482582,0.39593126303504,0.369043637037974,0.466408291577759,0.836381078613293,0.241608662148467,0.80041482973841,0.131361270666577,9.26953730069139,3.65417457891959,21.6025285822738,2.97612584482878,0.454312659979201,0.0190436618742745
"NW Suisun",0.386186814871915,0.168605399597969,0.111682889830704,0.125083676209522,0.327519226501767,0.158517571726244,0.170105640078436,0.294787897518825,0.490858702419516,0.386024112500077,0.903158945371957,0.141265326559177,0.830520106234938,0.133229869031199,11.9600884723834,3.79508331001465,20.703613742764,3.10795664962409,0.45745182975898,0.0271063324116141
"SE Suisun",0.286827262345183,0.189687086010181,0.0618651673924882,0.0797089823833533,0.236865448974731,0.177894591646002,0.199403183862899,0.311302210251814,0.356293960736045,0.472850118090951,0.84980169654488,0.22941102524233,0.694919143712803,0.146892337663349,10.1684373349983,3.63264227906784,21.5877305198977,3.01162113132183,0.813985459012676,0.0398327207810958
"SW Suisun",0.161031539705958,0.0209933317362804,0.0650936383299927,0.0641973543073247,0.157290652145247,0.0237143749458746,0.0144438023935722,0.031607221557971,0.455597361453469,0.435624729614673,0.978686019968832,0.0548632916271857,0.670426329890914,0.129833072671505,17.3246001237128,3.6409913535578,20.8360860400684,2.93298595844761,0.87293702930663,0.0565240161461141
"Sacramento River",0.423134592959978,0.0161848472270266,0.319153965984258,0.0859596108564099,0.410796613651804,0.0245739156800965,1,0,0.876267160552905,0.124019009498917,0.985138614139426,0.01751695332894,0.0143959586289689,0.0228100436430612,0.08541356972006,0.00748152920603166,18.8850181192306,3.24746385058608,0.505238112887248,0.0516809537443892
"South Delta",0.479359381013303,0.0495237811867237,0.177520047250586,0.21556905829438,0.229628211947166,0.197652280906876,1,0,0.374233799732765,0.443174528301186,0.486903864393609,0.404028369672576,0.12277165412959,0.0725339800374938,0.289416677813963,0.106075346556143,22.6736738769304,4.09621549237842,0.252538101638308,0.017265595057779
"Suisun Marsh",0.532969032097282,0.263130736014255,0.155116334783646,0.123967140216793,0.335941842504198,0.18583947194688,0.426539324169554,0.422456222192516,0.44858795325198,0.41006982277353,0.737957838147593,0.28434197910824,0.770169729884482,0.0883609716504741,7.47804869771546,2.83790490021983,21.0577003086496,3.56341795815248,0.336372995727683,0.0219931474657906
"Yolo Bypass",0.54804471486308,0.0125287176817478,0.225164390707482,0.217202246678136,0.308057324958192,0.193431535784315,1,0,0.413993351332393,0.431130786281678,0.582850070559885,0.383741179887534,0.225506164088371,0.0184289187621749,0.108593082150344,0.00619084593411291,21.5315112585187,4.28493064940811,0.234375992030754,0.0122157062645321
"SummerFall",0.511794154956426,0.198895698714433,0.147552646441304,0.176606455529413,0.350830267846937,0.191081936798925,0.567848188853464,0.409394032427424,0.416749464421533,0.417813906447234,0.762050394507132,0.303746604386044,0.634994822942707,0.201549015631539,6.41447737150361,4.62187235549121,21.295706343775,3.22110198516377,0.444994259405047,0.0719527023763626
"Delta",0.44101482840174,0.181150543377055,0.162822402048818,0.178114812341409,0.306676930534591,0.186043119176256,0.642312072107225,0.440635184164408,0.452168431314193,0.425815901666471,0.750263385183931,0.327861512240807,0.433606205624906,0.323098845034532,5.31534960993235,6.04660710980039,21.2991945861987,3.45504455154424,0.455944263534863,0.203134210123255
