"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.673479627727056,0.0550352097458077,0.223381273079287,0.29381465609512,0.451792078493805,0.258027427267419,0.994821286527582,0.00955472083744526,0.366912765393123,0.46351174217226,0.700640432150537,0.378277842860934,0.538233653843611,0.102085663073692,1.91523618473009,0.652695439051635,21.6461427284509,3.35968450378375,0.523264983133994,0.0355039724793874
"East Delta",0.441441091045693,0.0444918472570881,0.255718770685181,0.178390771350528,0.346994161314059,0.117737289465578,1,0,0.598939406809487,0.361622656629933,0.786044775166971,0.214234113462554,0.0282847184441511,0.0583200772577362,0.0817574692597138,0.00243498959665374,20.3237551795647,3.89017046490046,0.236975495654884,0.0114753069248313
"Lower Sacramento River",0.647180140665529,0.0416025364519222,0.266984656970657,0.296077134610975,0.500589339191781,0.201881682004772,1,0,0.42460241573226,0.461534838243356,0.761052304587387,0.326211844161584,0.403371885052698,0.0799748916583978,0.612195027110563,0.243557887831808,21.1228103095239,3.62423476627715,0.47592795127463,0.024699776199728
"Lower San Joaquin River",0.481617370503802,0.0790849997987571,0.177619355205335,0.244990176598703,0.251143468490019,0.242352181855233,1,0,0.349717618780572,0.472033667827283,0.470208350803362,0.463318057152142,0.107325097386494,0.137667637331988,0.301592395151951,0.120174483283844,22.4976481837441,3.97966559554348,0.33040107925848,0.0151984234742628
"NE Suisun",0.534628957380365,0.177526593349267,0.159642008970197,0.201951310719172,0.439374248443366,0.198577831185898,0.537324158534634,0.276073600087234,0.369947116622873,0.467163440479797,0.826010483326284,0.251930125729355,0.800315879672423,0.131461502093864,5.98983638256456,1.15609878288358,21.5410287814705,3.1052764327204,0.457731263714453,0.0211013950285758
"NW Suisun",0.372930769186309,0.135056681783866,0.111127310968807,0.126908689107491,0.310082980228249,0.125850041037368,0.16991708818197,0.241832321131691,0.491035076848248,0.383356428543339,0.89497492068958,0.150109323264971,0.830456545122195,0.133009918509812,8.73967540440564,1.15337835884755,20.5938047128386,3.26829911006543,0.45983249952149,0.0311970447719976
"SE Suisun",0.379241807944646,0.120211158113157,0.105715848172592,0.137477164830722,0.306617865636716,0.141970900079326,0.465165488684112,0.15487112594649,0.355577446764706,0.474241378985809,0.835074447472071,0.253326987815311,0.694861292456804,0.146866703423387,6.88041516413815,1.16580463494408,21.5472931012446,3.15378752433429,0.82007855409161,0.0398163252376516
"SW Suisun",0.156358719440111,0.0200279231010942,0.0580803090280894,0.0632124472480641,0.150453790178316,0.0235288862759882,0.00627839227720394,0.00895215730678668,0.419590360605456,0.450805493204064,0.965668571858967,0.0766862958847144,0.670229513987638,0.129144467075102,14.380654022145,1.20053224965261,20.9036993793109,3.07665031106199,0.880968162858192,0.0556185193125402
"Sacramento River",0.421777780562772,0.016450351636509,0.331290617825044,0.0897188790286694,0.413584253851645,0.0187675683097275,1,0,0.888310416665956,0.124808798899664,0.987623169829152,0.014364030044686,0.0143924357628158,0.0228542419504395,0.0787726446015687,0.000946057380989602,18.5600516688602,3.31135612384303,0.53156474101069,0.0346884972185062
"South Delta",0.47923734770714,0.0497474333977864,0.181057604196676,0.214799048465954,0.235127787346834,0.200288499769169,1,0,0.384355489596366,0.441469066309536,0.492046968325723,0.409347535535061,0.122454298611718,0.0728686332174915,0.194391352725575,0.0226324584991332,22.5221414957212,4.24874984188817,0.253125769282217,0.0198563826635968
"Suisun Marsh",0.612118745329058,0.20239103540205,0.212208602963486,0.197382266972456,0.407762061339618,0.192161516305289,0.615602179984291,0.254229679376127,0.450283052700325,0.409556908106538,0.739818698984351,0.284594400917143,0.770108706856253,0.088671490670107,5.46824819395714,0.554954064217424,20.9758849113449,3.65059888381084,0.341200391102224,0.023454545581953
"Yolo Bypass",0.548010582771265,0.0120249273250527,0.229371428497324,0.217897539763441,0.309185469502918,0.194375361378427,1,0,0.423076092223174,0.432816013674255,0.584089049891588,0.385800601001366,0.224060597557515,0.0202993249659315,0.106361066228288,0.00574302425413045,21.4753342206313,4.30636592479266,0.228973326797475,0.0118647212533508
"SummerFall",0.576427320726988,0.171476029253465,0.203425460995559,0.237066995142955,0.417556614813363,0.204940140626513,0.695085138673461,0.384247535622996,0.433208327668489,0.416458063067928,0.774121589102964,0.294863754162199,0.635542697718689,0.201027054449987,4.18383870255086,3.29022563381051,21.0846606655396,3.36488568913786,0.450056456258085,0.0734299259371414
"Delta",0.479001911688645,0.166774768877857,0.192683148880223,0.20554969191001,0.343558958668111,0.194423047425529,0.732425716182483,0.37421217612999,0.460195604895212,0.428001915856006,0.753604347757164,0.326751956143749,0.43367455206286,0.323110621659661,3.72909460891818,4.48410076468774,21.1424662227255,3.5806398958584,0.461670351475028,0.205511592363561
