"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.67372776440045,0.0552121423602456,0.223441591132846,0.293796250984666,0.453206329794997,0.258502070064808,0.994969707383794,0.00943683014424889,0.367050211221145,0.463403389469106,0.702345548414078,0.378308991748261,0.538236031368653,0.102110822341153,1.88867568818564,0.671457403633515,21.6403853284919,3.35671856769344,0.523057647032806,0.0354523791760884
"East Delta",0.441441277791106,0.0444921123999913,0.256071100574852,0.177991233426815,0.347986342994382,0.11675047276237,1,0,0.599881495963938,0.360570562601208,0.788031103201838,0.212279485332887,0.0282846881093915,0.0583200933768533,0.0816419973647294,0.00239328963776289,20.3161096975939,3.88343622330892,0.236977978530057,0.0115120275357582
"Lower Sacramento River",0.647207122052284,0.0416443003082639,0.267112645665045,0.295956966226413,0.501626531336681,0.201712985112167,1,0,0.424697206379067,0.461422581025093,0.762635992777769,0.325949264473566,0.403369177052549,0.0799658433070436,0.604827259726595,0.248259398891668,21.1176690980246,3.61814198295726,0.476019934120097,0.0247519551098062
"Lower San Joaquin River",0.481621995887612,0.0790786421761393,0.177617740561924,0.244981571487506,0.252037160742461,0.241648835447217,1,0,0.349721347377559,0.472022624165005,0.471533473307251,0.462202571024989,0.107333268909876,0.13766503400756,0.296460988169924,0.120027412596513,22.4920982920955,3.97517267282978,0.330368552110422,0.0152204975727096
"NE Suisun",0.54216146617206,0.18712875328768,0.160138861385698,0.201995662183494,0.446342957481784,0.206538204302562,0.547143455128386,0.282519419353241,0.370214391877416,0.46697246119531,0.82723557211613,0.251195133198649,0.800316776239435,0.131461982579072,5.92303573793736,1.21968861851618,21.5376233131829,3.10297105339848,0.457764842998863,0.0211244511982336
"NW Suisun",0.378902150657534,0.144159771610266,0.111771585201334,0.127197052292069,0.31550872560621,0.133657257205965,0.18116363919645,0.2557743811229,0.491087202222348,0.383375675779624,0.895799885350391,0.149289113095132,0.830453063983958,0.133006721442606,8.65284180773293,1.24839482309446,20.5922868031696,3.26728691790451,0.459842734570447,0.0310748915065946
"SE Suisun",0.384093351922732,0.126130585501923,0.105876254762572,0.137514808942215,0.310943710820533,0.146582970616331,0.472454783868176,0.160636351710001,0.355683723123199,0.474160898771413,0.836359865727062,0.252152188036834,0.694861292456804,0.146866703423387,6.81461184192406,1.23191523492457,21.5430806565394,3.15084740955824,0.819838095680955,0.0398767842689211
"SW Suisun",0.15653177271964,0.0201682289636628,0.058264056920177,0.0630647242807812,0.150771115243379,0.0235781729045256,0.00771404923788262,0.0116179859290641,0.421071565300841,0.449875271692924,0.96658805520028,0.0752958367817182,0.670225720410275,0.129138618282489,14.2946709757165,1.30581188840386,20.8977664555541,3.07263170061305,0.880941330263542,0.0556409409104268
"Sacramento River",0.421758236368463,0.0164156056005802,0.332005242848472,0.0889519842677945,0.413658619229626,0.0188232439066536,1,0,0.889503153525524,0.123288220234462,0.987697049554166,0.0142825064454002,0.0143924357628158,0.0228542419504395,0.0787675501638353,0.000944252115552909,18.5538893202733,3.30953206843646,0.531681182851337,0.0349648207210363
"South Delta",0.479238289675445,0.0497494641546259,0.181138816140923,0.214737200842714,0.235328801774085,0.200143654102358,1,0,0.384682251218054,0.441197224641579,0.492493504038466,0.40903735746775,0.122445070902267,0.0728717394889065,0.193214482936991,0.0225682721835677,22.5167370791896,4.24416705357197,0.253074640979913,0.0198441953115645
"Suisun Marsh",0.620370494102931,0.202626053641033,0.213896526442869,0.197975691349349,0.412080642125576,0.189269385495751,0.630710453639109,0.252015307520167,0.449945984147208,0.409860474522466,0.739626431195889,0.28474596636581,0.770242555903543,0.0886645219896354,5.29812624638214,0.676235649111949,20.97884022817,3.65223221304595,0.341508093884882,0.0231101498600128
"Yolo Bypass",0.547831064436831,0.0118322597284978,0.228598099562137,0.218560388112324,0.308808619660155,0.194821902559183,1,0,0.422560232494577,0.433276532144771,0.584547816066248,0.385505929910539,0.223808092076233,0.0201462923820023,0.106027025308325,0.00569936274246444,21.4762707152131,4.3106197292387,0.229176812858714,0.0121195061167762
"SummerFall",0.5800518828033,0.171965701194377,0.204055587110523,0.237139683798869,0.420605557215866,0.204954014207001,0.701710950054838,0.381329254771638,0.433195150992442,0.41646678182949,0.775101964434532,0.294710073480467,0.635575207077176,0.201050597566444,4.11111775050682,3.26382712128266,21.082295364464,3.36264374274601,0.450107102402058,0.0732297342858264
"Delta",0.481240415515591,0.168716583113102,0.192994376766571,0.20560163643947,0.345691629734156,0.195779884598186,0.736179674037816,0.372476753066217,0.46050823040424,0.427927471084113,0.754574524745797,0.326293633296954,0.433664014431317,0.323135014397193,3.68607513346242,4.45675229771761,21.1385630822915,3.57841037891392,0.461687653823503,0.205443564251264
