"Region","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.217089459789594,0.296101321056408,0.359854084485263,0.278640917989988,0.964571899391622,0.0545440959877875,0.35332788861546,0.464314580084293,0.582221449105297,0.416814350171518,0.538474539634344,0.101852873642641,2.72771363486044,0.908739461295996,22.0091301825534,3.4494988621414,0.5236642691528,0.0322938567968071
"East Delta",0.167225553702954,0.208290990991969,0.211889940258187,0.201801471828105,1,0,0.39062929598387,0.454258997479906,0.507488151435458,0.420476206169852,0.0283388194957803,0.0584498456176129,0.0883406316531136,0.00445705146725954,22.5824187034351,4.7375612307512,0.2175345976025,0.0102170860400367
"Lower Sacramento River",0.227813344297343,0.29743816969823,0.326012489485674,0.297789539146012,0.999932444446002,0.000181548852057485,0.371156070435391,0.462610831609493,0.530897371392311,0.459004596273779,0.403349801159086,0.080000274011623,1.04099159580662,0.458460192239896,21.9801256969803,3.98211629930537,0.472388225412577,0.0242366562814265
"Lower San Joaquin River",0.168233818241148,0.246454039560127,0.200309481669372,0.238804601626905,1,0,0.334431846325547,0.470806555990546,0.397969833350394,0.464791660890527,0.107407728194816,0.137797260815178,0.37594002976375,0.12230057414117,23.1495226949083,4.05572590425219,0.325997322981713,0.0150287592356918
"NE Suisun",0.151544231875012,0.215213115867604,0.322012225344564,0.156099188838905,0.263654712645945,0.254880037658539,0.365638513189904,0.466795880384794,0.783030377957038,0.279237241372477,0.800317844780446,0.131444537414321,7.33580313219509,1.27360991110311,21.6804289435072,3.08924517878324,0.456225563191164,0.0209958872689305
"NW Suisun",0.111208437692257,0.139549211651923,0.258142961215067,0.0646174307219358,0.0262989033197508,0.0617891490548264,0.488650013918432,0.383581730527969,0.881141199388548,0.162249106736157,0.830454965266623,0.133017739949666,10.2905124416143,1.20070690052909,20.6614102728386,3.23486611841675,0.458836508514848,0.0322104924525221
"SE Suisun",0.108002082080436,0.156754702603381,0.226390284461029,0.117222981388938,0.293444179923285,0.173834108242936,0.350977302447402,0.473393126509142,0.782812615198554,0.288016516004415,0.694879647082178,0.146898712311153,8.18391323457436,1.31900817414373,21.7111402967033,3.13945341277012,0.816233457556302,0.0404480225702105
"SW Suisun",0.0561965431739826,0.0635456325893541,0.149531592365159,0.025110197329258,0.00284636722391951,0.00828793433814296,0.40410559863902,0.454790509317299,0.95533990197507,0.0924532263532034,0.670254217807677,0.129169477522505,15.6151928114641,1.28097905589567,21.020453541663,3.04186099862902,0.87712948292701,0.0574150976653663
"Sacramento River",0.227882100511323,0.180790725439774,0.330823443874046,0.0946201251350511,1,0,0.553605583330079,0.454429179678479,0.875954587061749,0.149548484034232,0.0140968083683124,0.0224492548723462,0.0815367200027326,0.00373987635357057,19.7915471903489,4.14436902501026,0.452067256438956,0.023363280466233
"South Delta",0.168564571115367,0.219861270878844,0.212554973619558,0.205151748716898,1,0,0.352600072448607,0.454169632123644,0.446485391946348,0.428921807032068,0.122329792649927,0.0720159507560055,0.268956535853893,0.027167092496457,23.0827553837749,4.43395607124886,0.215492035169839,0.00677532626027759
"Suisun Marsh",0.171670623113947,0.175723708182402,0.292892618025194,0.145026503638833,0.299183713682732,0.15425984259578,0.449535140710985,0.408960879425288,0.730076553788821,0.287348767895589,0.770117277369454,0.0885920747191094,6.91887255696663,0.915941508671003,21.0149151012986,3.63022296988701,0.340392475083482,0.0240499771207659
"Yolo Bypass",0.220807864065489,0.220935285489712,0.287326418725549,0.210969898640754,1,0,0.402699546566918,0.438346794682982,0.528192323024119,0.429275251940162,0.223253016562915,0.0199239883756649,0.109293893910304,0.0052348372031553,21.7998655856009,4.51700401271698,0.229526024688108,0.0123091001653207
"SummerFall",0.181945466223285,0.233313202733718,0.309225538302799,0.213695186888792,0.572496740210027,0.434707823954187,0.415667278420067,0.418153339271496,0.681084143418744,0.36470400319713,0.635599145857377,0.200972991685839,5.244522557312,3.76401438348752,21.4163953134177,3.4957691848392,0.448820369540927,0.0732673149259242
"Delta",0.166353219138238,0.207786953036218,0.264811709460722,0.189518457852379,0.654161018386105,0.425473935323782,0.401446406050968,0.432921273413524,0.666800812968642,0.377580861678397,0.433606204864297,0.323177032490175,4.41975560155545,5.02301477224496,21.706976132801,3.77066813656794,0.448790601559942,0.208305478325703
