"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.674060411039998,0.0551399729345111,0.223364095713281,0.293794699425749,0.452808367224782,0.258489242454343,0.995343416777599,0.0092760803133873,0.366980848023742,0.463372096956056,0.701901104679262,0.37809788326266,0.538236788018902,0.102120534075265,1.84060222831151,0.682906812093501,21.6407448144474,3.35669945382428,0.522912280216631,0.0355269862566665
"East Delta",0.441439997092829,0.0444943790731548,0.256071372131039,0.177796297946172,0.348453809218871,0.116032899123016,1,0,0.600114567240655,0.359880551908016,0.788718971427658,0.211078142262609,0.028284678725788,0.0583200983923511,0.0814802398056336,0.00224575239994615,20.3124226145106,3.88108876872415,0.237031688925762,0.0118910667216753
"Lower Sacramento River",0.647230033849069,0.041605232245652,0.266839503728677,0.295842863940444,0.502981938535437,0.199576982171034,1,0,0.424351518220464,0.461174664400779,0.763973514903247,0.323202479617635,0.403379787086942,0.079977045447636,0.590141789510807,0.251040287251437,21.1146326934087,3.61712863178814,0.475837809528415,0.0247476504583258
"Lower San Joaquin River",0.481621234137926,0.0790831827876485,0.177598992360556,0.244989536011939,0.251715888107755,0.24140156250304,1,0,0.349688060751026,0.472027232927443,0.47116756702126,0.461998247166555,0.107343285718829,0.137659996404369,0.283526029890561,0.112838374395519,22.4946036102307,3.977151394981,0.330378642187827,0.0152221316662598
"NE Suisun",0.552561598216063,0.192207719615579,0.16070498901528,0.20265119502219,0.452931601013529,0.208538463363674,0.564438517346167,0.281608484501756,0.370211330110639,0.466937384049419,0.826929177668556,0.251035782801421,0.800316488793535,0.131462341792826,5.82510578033374,1.26305189851488,21.5380797879043,3.1032221979726,0.457582788288188,0.0209451677645964
"NW Suisun",0.386518387252174,0.150756681401054,0.112653335896642,0.128089862533975,0.320995285012431,0.136431985186613,0.195501072404199,0.268444398162226,0.490975402066648,0.383474829657893,0.8961156989578,0.148408300439676,0.830454878395256,0.1330125083171,8.54199648296806,1.29875020402735,20.5922643782151,3.26714817596015,0.459930279539714,0.0311260616246046
"SE Suisun",0.391244174859086,0.130411835475454,0.106086930256952,0.137758569761253,0.315035382609989,0.148121187693385,0.484549493278906,0.163367541916545,0.355694732992255,0.474113314810522,0.835977271893198,0.251714126284087,0.694861292456804,0.146866703423387,6.71796446905306,1.27983364842296,21.5433982547328,3.15105704675997,0.819905160603064,0.0399306408707243
"SW Suisun",0.156675969654608,0.0202023218628536,0.0583345973664125,0.0630638255015622,0.151035170448258,0.0234171259191676,0.00928233912882965,0.0142178619430263,0.421631721336519,0.449624460017368,0.967359068665056,0.0729578983435066,0.670221299227804,0.129133432932593,14.1905848159268,1.37596249701512,20.894540126218,3.07054437200239,0.88114189494375,0.0555758950136397
"Sacramento River",0.421666854362362,0.0162433327439558,0.332059539184202,0.0888616637277804,0.413771300041661,0.0189145709800938,1,0,0.889514397090218,0.123162607004325,0.987817775007114,0.014036156550841,0.0143913246720055,0.0228530806021772,0.0787418949957748,0.000927948823687093,18.5492424029849,3.30544588637934,0.532026963942548,0.0365042622657463
"South Delta",0.479271707899217,0.0497401239583686,0.17978382835603,0.215483508540567,0.23584178283923,0.199106400042804,1,0,0.379378530983486,0.44389905498533,0.494273679043243,0.406102542699024,0.122573336144593,0.0728970132734411,0.189605672913635,0.0218369633275593,22.5206172957227,4.23842777801516,0.253599034705072,0.0201710994544372
"Suisun Marsh",0.631023045977731,0.203455890471577,0.216330049311756,0.19874651109863,0.417656524862735,0.185269801460127,0.647320267877753,0.251417938367045,0.450045854278292,0.40976816181743,0.739694923705274,0.284665808381362,0.770167193815831,0.0886352317048113,5.16567826013167,0.719539573393158,20.9779755196642,3.65149561929592,0.340853941993796,0.0237200754583071
"Yolo Bypass",0.547955315161468,0.0119520659429664,0.228929702231422,0.218265225938201,0.309125070789661,0.194453676306289,1,0,0.423185961543232,0.432669717447926,0.58513353150208,0.384761401779739,0.224090570544032,0.0202365247561711,0.105797452103812,0.00570317610933543,21.4737354448459,4.29850577222307,0.228823798172123,0.0124178118763822
"SummerFall",0.584707969529743,0.171957824024322,0.204796746162589,0.237286172608915,0.423610528908846,0.203397611390479,0.709541189264888,0.377570301505647,0.433088405647287,0.416397184115733,0.775421310561396,0.293873132944633,0.635559661829233,0.201034941319215,4.03460469023051,3.23182748484737,21.0814043514338,3.36218704440782,0.449883577819639,0.0734858946941085
"Delta",0.484272394125211,0.170287799340157,0.193229744629354,0.205748232836036,0.347696010058695,0.195917853943246,0.741369592234454,0.369336213077728,0.460147743719765,0.428079863905838,0.754921857039479,0.325474452812758,0.433693410300027,0.323102285518978,3.63426875966209,4.42066744805139,21.1376880785738,3.57680518312798,0.461668690253908,0.205539395650081
