Subregion,Subregion_ID,date,HSIR,HSIR_24,Fr.Sal6.mn,Fr.Temp22.mn,Fr.Temp24.mn,Pr.Turb12.mn,Sal.mn,Temp.mn,MaxSpd.mn,week_end,week_start,alt,WYT,Sub2
Confluence,6,7/15/2012,0.186950304,0.758452071,0.998449876,0.29958763,0.996186595,0.708768931,1.813618959,22.22805703,0.553966491,28,27,Alt2v1wTUCP,BN,Confl
Confluence,6,7/29/2012,0.256044177,0.748963847,0.999912422,0.396584814,0.998921288,0.656016918,1.564543641,21.99783472,0.519251145,30,29,Alt2v1wTUCP,BN,Confl
Confluence,6,8/12/2012,0.223458679,0.72649106,0.999977104,0.350052176,0.996242145,0.632462976,1.658771633,22.1308469,0.540522182,32,31,Alt2v1wTUCP,BN,Confl
Confluence,6,8/26/2012,0.367901701,0.686862745,0.994049285,0.569155605,0.998053429,0.549282946,2.625383883,21.86845589,0.518787087,34,33,Alt2v1wTUCP,BN,Confl
Confluence,6,9/9/2012,0.555543118,0.649571492,0.984894334,0.862320683,1,0.510155598,3.071353381,21.28025532,0.524752905,36,35,Alt2v1wTUCP,BN,Confl
Confluence,6,9/23/2012,0.566865532,0.566984547,0.912910503,0.999758238,1,0.474811905,3.805759905,19.825063,0.521303433,38,37,Alt2v1wTUCP,BN,Confl
Confluence,6,10/7/2012,0.444520596,0.444823241,0.708866982,0.998803775,1,0.45450932,4.961028408,19.91028974,0.506922768,40,39,Alt2v1wTUCP,BN,Confl
Confluence,6,10/21/2012,0.387493353,0.387493353,0.664810405,1,1,0.412863585,5.132349597,19.23326044,0.546402654,42,41,Alt2v1wTUCP,BN,Confl
Confluence,6,11/4/2012,0.397394187,0.397394187,0.642327983,1,1,0.439826419,5.237141595,18.10873676,0.50073295,44,43,Alt2v1wTUCP,BN,Confl
Confluence,6,11/18/2012,0.477944023,0.477944023,0.733709836,1,1,0.564552409,4.691172711,16.3754709,0.5651069,46,45,Alt2v1wTUCP,BN,Confl
East Delta,2,7/15/2012,0.05017498,0.274138936,1,0.160659461,0.640785647,0.000399465,0.053657228,23.66036374,0.261805468,28,27,Alt2v1wTUCP,BN,E_Delta
East Delta,2,7/29/2012,0.121930624,0.310530536,1,0.330019788,0.726429958,0.000221185,0.052853658,23.10912993,0.246259283,30,29,Alt2v1wTUCP,BN,E_Delta
East Delta,2,8/12/2012,0.092661655,0.292028743,1,0.266639006,0.676560527,9.05E-05,0.053300388,23.46936301,0.247782582,32,31,Alt2v1wTUCP,BN,E_Delta
East Delta,2,8/26/2012,0.019352899,0.262014029,1,0.064206118,0.610368379,0.000103872,0.057049894,23.92436621,0.231680843,34,33,Alt2v1wTUCP,BN,E_Delta
East Delta,2,9/9/2012,0.198317299,0.360394263,1,0.486065832,0.864093682,0.005680749,0.058147515,22.31514972,0.237315046,36,35,Alt2v1wTUCP,BN,E_Delta
East Delta,2,9/23/2012,0.287118241,0.499459937,1,0.563966053,0.930500006,0.158313487,0.064156471,22.05639067,0.209065117,38,37,Alt2v1wTUCP,BN,E_Delta
East Delta,2,10/7/2012,0.260239536,0.399065196,1,0.627106551,0.962790691,0.000100326,0.070624427,21.70748836,0.205716512,40,39,Alt2v1wTUCP,BN,E_Delta
East Delta,2,10/21/2012,0.413769164,0.419865945,1,0.992003398,1,0.000156192,0.063764129,19.54729476,0.212059179,42,41,Alt2v1wTUCP,BN,E_Delta
East Delta,2,11/4/2012,0.506919132,0.506919132,1,1,1,0.107315683,0.064842779,17.0551995,0.21035332,44,43,Alt2v1wTUCP,BN,E_Delta
East Delta,2,11/18/2012,0.423347425,0.423347425,1,1,1,0.002772099,0.067302163,15.01853447,0.230458124,46,45,Alt2v1wTUCP,BN,E_Delta
