"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.408716283759527,0.197719871293892,0.0984605711994943,0.112837125610951,0.364305703969028,0.152796204550664,0.446783867271695,0.318299636259952,0.396513432828631,0.437982141826188,0.933613620756965,0.0991746666825102,0.541514995798694,0.102854477756284,6.97383145592704,2.73545938039578,21.8007329706203,2.2096083307404,0.51982889261367,0.0299072887446633
"East Delta",0.441104588682561,0.0433511423633011,0.096859429788004,0.188914256355415,0.177545256224536,0.197999181116134,1,0,0.216841322964207,0.404999649269334,0.404829809244339,0.433024677155936,0.0276058724647059,0.0569946157779119,0.118391243508502,0.0434818123388678,23.5303688771668,3.22816938151761,0.203592569498075,0.0126617594768965
"Lower Sacramento River",0.569621001889504,0.12935159837817,0.120795063148872,0.163246651550266,0.36862893326025,0.115293987630736,0.831765462058605,0.232879850210248,0.308579817460999,0.411100863414571,0.72741836320662,0.264782809055968,0.402852261393951,0.0798880318431804,3.98111918772288,2.32040250893319,22.3574408465312,2.40080324414144,0.468325721874102,0.0245693877487247
"Lower San Joaquin River",0.474880121235202,0.0763672215936723,0.126788527766997,0.217443055943169,0.284351748528096,0.181602014477242,0.987781115872314,0.0303671687407396,0.245476767466404,0.408679305867602,0.572639359528193,0.379332405805817,0.106191474733347,0.139430738010877,1.30794378434483,0.830160929343702,22.8639730481226,2.71202309235193,0.322568857510997,0.0151413110749854
"NE Suisun",0.343739883067872,0.106663580159849,0.129009684459988,0.116179141148052,0.335755615359926,0.106671803260632,0.0820843506957124,0.196702132142123,0.44076141405086,0.418747682617756,0.980377314453918,0.0332067421350318,0.799908469909743,0.131157620368677,11.6741789986163,3.44715125340442,21.5181388213678,2.09816500860012,0.462617661886583,0.0245932224749723
"NW Suisun",0.305697173372068,0.0248170016599771,0.13346276995108,0.111152204638529,0.296207766756921,0.0192711597222199,0.00138568258758239,0.0043819130907961,0.446971580145039,0.427811456666593,0.976698234499414,0.037772411011048,0.819971595958599,0.127697058712157,14.8435005113785,2.89415841911588,21.0435122138848,2.76073937765304,0.531059771997952,0.0726021392227715
"SE Suisun",0.232104446274101,0.0904972641233262,0.0736458192497261,0.0802160452157067,0.227779185313772,0.0895060465024024,0.0806011651701058,0.167609528981853,0.390596542032906,0.456728737746621,0.985169141026963,0.0276407930731897,0.693332287280223,0.14681779948884,12.4299412373211,3.39770074922763,21.6497882113044,2.12755675846409,0.796832863027146,0.0360339486159146
"SW Suisun",0.149715741187308,0.022547467826191,0.0672955101901628,0.0669202505104478,0.149088296283845,0.0222947550972651,0.000337646818725206,0.00106773299188164,0.465272922454373,0.447989003764436,0.996699395370509,0.00853937298017037,0.674236699271581,0.130105522024953,19.0673709695532,2.87342830795719,21.2608524903374,2.2764743533772,0.918963345258886,0.0884127538189552
"Sacramento River",0.427913467152177,0.0183423986369595,0.120063163713932,0.178454976662248,0.219211285241585,0.187504954949479,0.99937532425855,0.00151631029387811,0.298325078386412,0.434358792387133,0.532742270612588,0.44578814609529,0.0140907734195908,0.0224750272271995,0.125525778809437,0.0708824930267425,22.7155859441474,3.28342860152253,0.415241796373557,0.0296959936699254
"South Delta",0.480842715292454,0.0501731569510287,0.123657238867347,0.203921865425951,0.244208511862037,0.18597750484895,0.999998464193076,2.16522509346143e-06,0.255693445774869,0.395986060176024,0.501539644177258,0.393814082064497,0.122954324523201,0.0743442093888748,0.4417140567082,0.167188048397062,23.1558990258057,3.36254717723399,0.20753793079851,0.0126487848209943
"Suisun Marsh",0.332311917425446,0.0204876343396593,0.142288416726627,0.124566515233689,0.306603747463902,0.0249158878121737,0.0171631245774171,0.0311020838328279,0.465688248199673,0.379082889765541,0.920650989145923,0.0844099803068482,0.759203019088727,0.0862325225363529,10.3545518310307,2.40539641549912,21.2002615260614,2.59576984125054,0.347635252663919,0.0282697603067707
"Yolo Bypass",0.546718129824463,0.0108025362882988,0.162275149321791,0.182469472089548,0.282999483563239,0.165504240798254,1,0,0.319934066913867,0.371250716900282,0.578783587270784,0.32112254250069,0.216839912257117,0.0215656688247381,0.120010980248196,0.0400540988225141,22.6635419768418,3.36114757654302,0.25321912200135,0.0372174214116947
"SummerFall",0.404086594111636,0.154778340867984,0.123751705256518,0.125692218277842,0.333936537862525,0.0989234314660923,0.324274534123825,0.396138737816927,0.404438269658585,0.403070003741496,0.88959530190223,0.172788564792287,0.630885468059993,0.195355387852706,9.03825074651478,4.7930548476785,21.6004868892744,2.45935233667635,0.466712409787411,0.0846643925510126
"Delta",0.392780455763557,0.145141549863257,0.116216778698668,0.14826277850411,0.271390461152261,0.147150398214029,0.537273016958648,0.468979996909875,0.354221219889853,0.406733507885087,0.759263477441123,0.338396322307387,0.431558473841623,0.321748035057402,6.78650666959741,6.79315668021799,22.1466746626826,2.7346546654939,0.453951982125396,0.216197290319317
