"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.541341387833731,0.167671551433716,0.25698385375598,0.170759541437519,0.537748372575487,0.165799966251242,0.788610572328453,0.198867217986645,0.548210937720854,0.354407438879629,0.995111368596618,0.00587461825771912,0.542758735181582,0.09956276530244,4.06794768596823,1.67148572753875,20.6073250180045,2.57389483216613,0.525277308632829,0.0256037888961817
"East Delta",0.440700392820429,0.0425587931834691,0.155567612367487,0.212339954789683,0.257531524108498,0.15460041797896,1,0,0.353635555420307,0.467775593317261,0.609384915058636,0.316599088802463,0.0271640537036798,0.0560084360390952,0.0841134441230876,0.00351730758643698,22.0241663721568,3.50231224781772,0.210090665900345,0.00968336344646839
"Lower Sacramento River",0.647006140238403,0.0472612463996394,0.257353723945474,0.268253016706903,0.591409874963154,0.0719061962539608,0.986585914019046,0.0192883908103544,0.438558846864039,0.407772554485573,0.92492735119423,0.0856911804501776,0.403818917069114,0.080231801282678,1.78144067804712,0.800187489634032,20.9762713274483,2.82353338985061,0.468482854553994,0.0195885899996407
"Lower San Joaquin River",0.482622502541214,0.0806252436667029,0.184506696439867,0.239813416658708,0.349383038371738,0.140673703088871,0.999945166870783,0.000121779934383434,0.363934049584404,0.459574442319376,0.680298371056195,0.262222439264904,0.105638909034114,0.141968313042469,0.60381026534257,0.285724665381357,21.728715645765,3.2502927593874,0.320531283975523,0.0135730170150175
"NE Suisun",0.396137662137193,0.178279298807198,0.26910350154181,0.163292127340234,0.394586596297057,0.177373277265648,0.186266223868912,0.307473547526061,0.687795780582802,0.265765893964893,0.997412926013809,0.00319592112205461,0.799788791110722,0.131685500711078,8.95995425773021,2.41772049291597,20.2877109140382,2.42256722986387,0.467756986022955,0.02314240467999
"NW Suisun",0.33596700453862,0.105238989216259,0.236746946291739,0.113531702418114,0.332320174990742,0.103009630824961,0.120765184207989,0.180953700306761,0.782364394410323,0.184847759689852,0.995955720105818,0.00583434789596055,0.830718152041103,0.133015953867032,10.5430430577826,1.70047440507087,18.8297132653041,2.81595632285154,0.439276720328458,0.0322454818271777
"SE Suisun",0.272203123835949,0.14216045346099,0.175836863868536,0.125688918014762,0.271871646661693,0.141957358962921,0.186662409411092,0.241992463615382,0.654351677918378,0.300094863845,0.999320994726112,0.00092880511713803,0.693699085564112,0.14723589914394,9.66049848824849,2.37268956747997,20.4469196276867,2.44016493958086,0.807909960739953,0.0391561238730009
"SW Suisun",0.142428366878845,0.0248514206602318,0.106147530163441,0.0294230666895473,0.142423393819601,0.0248441317294195,0.00504065370447227,0.014797913740222,0.772507924863764,0.221361115576934,0.999973915933097,6.35878454533694e-05,0.675299661399981,0.129236257198778,16.3937506283147,1.96205577715607,20.1586972286038,2.49671141446943,0.944670076889737,0.0720653569305865
"Sacramento River",0.427754037646292,0.0175989692363766,0.164976703823453,0.188495586859758,0.368465396958085,0.0657709610619141,1,0,0.391033873369875,0.446729760969509,0.913143314687668,0.110761654682802,0.01413955311608,0.0225146124979659,0.0861975363235609,0.00517670959620881,21.1237395890989,3.07775661033659,0.45511601787178,0.0280828853960939
"South Delta",0.480186452878348,0.0500801682564263,0.167638803348228,0.224153425549381,0.219746864480989,0.192238649660296,1,0,0.350760003330934,0.463108988833848,0.445411294882528,0.407183073370639,0.122591390315371,0.0740233074075162,0.252449729720342,0.0792475433832288,22.6567782692562,4.1451878607302,0.225269248478445,0.0127998719128517
"Suisun Marsh",0.530625757025159,0.192422544467557,0.336540292454364,0.196556168256456,0.519995323684813,0.190070526027618,0.475824436532275,0.274670190879996,0.669348964849878,0.263321715826918,0.973841034515309,0.0238502807442213,0.76983707035944,0.0899439319570033,6.15786226385774,0.837178897825212,19.6730600110342,2.80983496564769,0.331026152465717,0.0234266103317321
"Yolo Bypass",0.55431942627946,0.0156509215410631,0.234301794577926,0.206605218374475,0.353177478798563,0.147998544197659,1,0,0.423858034603011,0.39728690770784,0.690502698327478,0.242947601574412,0.229492093954711,0.0380470078725109,0.118076396046338,0.0211314765477428,21.2968391047246,3.6113524155155,0.222169539099434,0.0133358335305903
"SummerFall",0.513735072408978,0.176151316720152,0.271906204111889,0.191636835382138,0.495368436553549,0.16769123253965,0.592946526771941,0.380015701849592,0.609620785961274,0.329059368181773,0.972458868602994,0.0519089979466211,0.63678321866281,0.200222179214324,5.63757342141392,3.50793237207212,20.0215924054478,2.78164300339551,0.441015758995249,0.0756514400972793
"Delta",0.437607687887804,0.167923336222297,0.212142026881525,0.189851797282311,0.361554973809202,0.186258644415299,0.645808380078585,0.427241337705765,0.536363336959881,0.384374611089322,0.852106992091458,0.256390453502016,0.434578867737501,0.323650165819288,4.89242870262541,5.38110648975694,20.8174946977601,3.06897104928297,0.451464734579931,0.220825343653457
