"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.58486942059467,0.148569648697248,0.387691926286944,0.13039305058293,0.584452647823548,0.148105406768233,0.863880362643814,0.156098031255999,0.749250548929974,0.304217477191057,0.998956233896364,0.00155764702392719,0.540320591904314,0.0999115096078036,3.45512991405315,1.50185572827692,20.2941965312112,1.97100038532473,0.529646832649916,0.0208044338355164
"East Delta",0.440954799488655,0.0435030252652329,0.238932932761602,0.16846705224944,0.375389501699939,0.0888391218236068,1,0,0.552761306032647,0.350557748541241,0.842508885948277,0.159355830550188,0.0275159991379379,0.056813651352778,0.0607689649452788,0.00652940458390705,21.18078178818,3.01932625910732,0.22923739433947,0.0194146701834266
"Lower Sacramento River",0.648318542308019,0.0411603246103047,0.3782698910191,0.263110746452193,0.642457363571203,0.0359560338765361,0.995841284146174,0.00615073033274984,0.621077109804202,0.401852616048212,0.988367725085073,0.0187628845002901,0.403162608902594,0.0801938864897221,1.30219635679505,0.705137749165529,20.6236492792611,2.28431578730425,0.475978798902319,0.0161110320950645
"Lower San Joaquin River",0.482366933953727,0.0797212004212131,0.237286279661031,0.23705753604706,0.411123646259104,0.141766533913399,0.9999949127247,1.41429784146987e-05,0.454715070239473,0.455241509778097,0.785488310038995,0.264039819208378,0.108249314386036,0.137830308098511,0.626575496946066,0.242772566372982,21.7012535619892,2.7206793363505,0.325136903660561,0.00906026799320268
"NE Suisun",0.423269776278292,0.176506874534863,0.304535230115895,0.037907865083285,0.422992535522391,0.176058352945915,0.260971776826818,0.332228285054596,0.817959502046435,0.244784240718536,0.999659741399909,0.000899840475620274,0.800208073513998,0.131589481244429,8.02160328672866,2.25583607982818,20.028561211983,1.99416013101834,0.466852454665286,0.0181311551500343
"NW Suisun",0.335980005748853,0.0854115770557602,0.271039776047007,0.0508235264004929,0.335501918546795,0.084898203411489,0.0798935812053615,0.142156410510825,0.902470718407471,0.13290542017579,0.999691381416718,0.000660035728736224,0.830638397360162,0.132991141057757,10.1238062919824,1.93756241259401,18.7622506760969,2.26723213579784,0.452781207092991,0.0319417369301607
"SE Suisun",0.297152934607134,0.14015215412982,0.209111587309618,0.03860812224167,0.297117032925611,0.140092743582809,0.251532081195156,0.249194714967905,0.827281749050327,0.236644906997526,0.999918797654224,0.00025231067415519,0.694396201823201,0.146839818521595,8.7824537802925,2.25384607748636,20.1581162895654,1.91300873650959,0.817240083410122,0.0375564816218363
"SW Suisun",0.14764534245002,0.0202130541394471,0.1405465592939,0.020703502196912,0.147645282188362,0.0202129885465407,0.00311777902536732,0.00550735699014845,0.965487830601741,0.0488352032902132,0.999999721852418,8.79579883454894e-07,0.673275926835308,0.12911313888245,15.4452442703494,2.11554354490428,19.7764812698672,1.79511878131822,0.917838122675716,0.078241076474711
"Sacramento River",0.422971550796373,0.0156443563794905,0.33064927049884,0.100485495422258,0.422025988957535,0.0156976229117519,1,0,0.858894412955198,0.189447970745745,0.995240431698319,0.00576017037239604,0.0143942689514235,0.0228848552085,0.0561723650060777,0.00988801935522357,19.8508090970727,2.5920829640064,0.516337224237997,0.0564837285492587
"South Delta",0.478230643064739,0.0500868093045738,0.170463562604291,0.218290650173087,0.296066828106149,0.205958962090241,1,0,0.343729880880442,0.452559048777755,0.586315218712003,0.419898443193861,0.121298803841736,0.0732932705091398,0.229386202118525,0.0625469553634662,22.4703875901049,3.44020645408446,0.252930010290273,0.020736301271101
"Suisun Marsh",0.726303282285575,0.127981680494948,0.572162290211314,0.0998755983684405,0.722566790324224,0.123675334629961,0.783984121815219,0.123246640609494,0.824932060615592,0.217711251741512,0.990586407593073,0.0126567550210201,0.770182960381449,0.0907454215283914,4.67351431688224,1.37442678296273,19.3923509736317,2.21524788179136,0.342383897237444,0.020326970461531
"Yolo Bypass",0.547391757391063,0.0108527687161522,0.256223573936082,0.182028606965746,0.385814417262483,0.11477003132583,1,0,0.504836737836341,0.37031563647533,0.784549092795056,0.191777770880688,0.222119209580572,0.0204261943621898,0.0806350593945343,0.00700575090429216,21.1622017662468,3.07823344375564,0.218552146047446,0.00840102420931147
"SummerFall",0.573867812734279,0.18129769567701,0.402290970891091,0.18659038253236,0.571244680066443,0.178940567749929,0.680899837452642,0.378365995267096,0.77443260943931,0.291011609525795,0.994400436997807,0.012017944766591,0.63607613963713,0.200868766382211,4.8886617199282,3.57796542232958,19.7681118650502,2.23016658027098,0.450197683970668,0.0725374976632098
"Delta",0.46128791574726,0.176749881549323,0.291409406645469,0.18303909114528,0.420262829432279,0.193515958306235,0.686601324965217,0.414282491996638,0.701949743949987,0.351318268170622,0.914273495674202,0.200484891335097,0.433813529718228,0.32353467788195,4.40479052545782,5.07444806443306,20.4500866696008,2.57472139665159,0.462076256267462,0.213953294777785
