"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.665484184275329,0.0442054671061192,0.525887009919812,0.169006660240585,0.665344479987768,0.0442411838210392,0.976997811280925,0.0102755259190421,0.806314989172688,0.243692156727457,0.999520926358197,0.000936076258054658,0.543447780181383,0.100578777845493,1.93527931966428,0.820463421302531,20.41712009628,1.90950570794776,0.567843385528466,0.0482773529057473
"East Delta",0.440712297974693,0.0433523528764074,0.322252401979187,0.114156841043444,0.403143159198373,0.0593860684748464,1,0,0.74731864176474,0.199330963105178,0.918925297091215,0.0664278135345539,0.02742364825691,0.0569628114972564,0.0811433399056983,0.0016372576355961,20.0297243379116,2.5950579678128,0.241876635558463,0.013749133916785
"Lower Sacramento River",0.635112368924501,0.0362798075447234,0.480435316587826,0.156870345790375,0.63501336580753,0.0362623896830771,0.967851801336744,0.00114423480487154,0.770948636792888,0.246024479115741,0.999767088799364,0.000434473195297821,0.404117761592939,0.0805749056104431,1.41267659801772,0.27647627693448,20.2954542439412,2.17924936113933,0.503086923658899,0.0256876809346379
"Lower San Joaquin River",0.479348866032838,0.0812277552073185,0.254446008927386,0.202135069441905,0.461683286309703,0.0930106181526626,1,0,0.459149881399228,0.387623459153101,0.930353309347509,0.0868014978620462,0.104661277620755,0.141036436282895,0.309520909203137,0.140514919424921,21.4681551209115,2.35473473076834,0.335338263957004,0.00979829745448486
"NE Suisun",0.600782928119859,0.191440793023115,0.536295222706262,0.195914940790657,0.600489812409374,0.191782163821081,0.648693147031703,0.306862877849632,0.883340557131174,0.170305514946292,0.999312150023323,0.00153092774031138,0.799866203102271,0.131376961429118,5.2710276845351,1.58824166549134,20.201896801196,1.6873344731488,0.472225572839736,0.0126578578594546
"NW Suisun",0.462573854263731,0.157318463207854,0.40837016935102,0.162699961106196,0.461704763890699,0.157808114376602,0.382043742144435,0.270995768322064,0.911928203648428,0.121165750302478,0.998957986119613,0.00201770955688535,0.830661410521278,0.1329943932912,7.712234397139,1.66034938807605,19.1246958920367,2.11433328492816,0.478686687270917,0.0314234034385646
"SE Suisun",0.417163751891066,0.135897597140852,0.366251340738028,0.132263324284342,0.417147546815367,0.135919175172716,0.542280209742739,0.198678194586166,0.87715585583862,0.178021231886078,0.999930096228568,0.000221055134760019,0.695016468012805,0.147374036510743,6.16384940230032,1.64487053527779,20.3016859116809,1.70694945126631,0.838325324702302,0.0250684613383262
"SW Suisun",0.145024397393465,0.0176857278317542,0.136553349732221,0.0150586830526531,0.145023798309973,0.0176851022651244,0.0322040380973388,0.0414989336861066,0.951276121573307,0.0767779283031447,0.999994141803002,1.70286582499366e-05,0.673047416898821,0.12819474946776,13.2774016066613,1.72895757826809,19.908972383103,1.75726416314706,0.944008385047425,0.0533498917650702
"Sacramento River",0.417892046890435,0.016759892209278,0.383970648583651,0.0341761155346898,0.417705969518579,0.0167397793641055,1,0,0.964521416825218,0.0339371853754752,0.997021439696498,0.00285858431496351,0.0144458335050947,0.0230456748390359,0.0799522924237455,0.00122841503514667,18.877342031632,2.53460964890985,0.552179102553812,0.0403029358191426
"South Delta",0.480131689642782,0.0501857503382883,0.192758774833943,0.205472517597778,0.361697803991411,0.133606680769011,1,0,0.393069524226719,0.419718757723733,0.724436441965586,0.256728290111572,0.124877198469883,0.0741456243737956,0.18731436506189,0.0225997828265079,21.8673694864848,3.01626020209158,0.271294034910195,0.0188480155140724
"Suisun Marsh",0.824216060263111,0.0815804780700365,0.681253876393072,0.173970720789442,0.822037355382802,0.0831279189056288,0.925622980051817,0.0790459269125989,0.838231532433784,0.183566977341894,0.994299542965726,0.0107640262462378,0.770514009672134,0.0889635935200352,2.77816786632227,0.894085692176208,19.7258204964153,2.07848956487281,0.353745473752892,0.020139408749684
"Yolo Bypass",0.549943952129474,0.0131867872898395,0.267269301379108,0.156064426758457,0.412889729651952,0.0788824748037164,1,0,0.524169978443951,0.316669852652193,0.839261619495642,0.117733235189861,0.232921711655116,0.0233790226198111,0.112813785834308,0.00828656138017001,20.899106487669,2.89112797273919,0.240915303040906,0.0147098004165225
"SummerFall",0.646846616931668,0.157796331653565,0.523986593062933,0.18873279318536,0.6460249912672,0.157729159853749,0.81312908370348,0.286936070024768,0.831855840511947,0.20398400675748,0.998136386060725,0.00574842033135409,0.637185240491933,0.200196148861151,3.45958954528582,2.72396166167816,19.8907726821683,2.0582647148982,0.475840617552794,0.084833807371741
"Delta",0.509865533150107,0.183107806215755,0.379645285094293,0.211551581517262,0.483656755939461,0.194312141520506,0.789641144140475,0.333197613046955,0.760618778270895,0.297321121921306,0.950148336657854,0.118137204460732,0.435083393290782,0.323187324367924,3.27678179725573,4.0749495292559,20.2597786074385,2.32125747239706,0.483293757735085,0.217091395568025
