"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.439925542714689,0.191005740520809,0.10341645884296,0.123274048991247,0.396094409573519,0.157993297421098,0.530694764671203,0.299806939152815,0.382430821197818,0.43386117679711,0.932287973299853,0.0888170452140887,0.540870568604497,0.0999068750371968,6.30496349051978,1.69930939973914,21.8807241874915,2.22780924836302,0.519836400031789,0.0250148363105856
"East Delta",0.441260346422694,0.0438358738776175,0.0954705708212261,0.186475822014966,0.174925771010653,0.197485699353653,1,0,0.21427934764919,0.401022978952075,0.397316077598585,0.431905543132259,0.027864852141808,0.0578087604049903,0.107214238000029,0.0215603785923094,23.4955019178799,3.38781961788624,0.202408616312472,0.0101536119603767
"Lower Sacramento River",0.607490154154116,0.0719390270575016,0.150670941937196,0.225114580102986,0.401980379081818,0.135254507072855,0.901600123672816,0.0695174511768198,0.303486281416253,0.399303306815846,0.721325913453007,0.261360712818684,0.403507305398652,0.0803992706175997,3.76969956062717,1.01866951324869,22.3426496158952,2.45501149328442,0.465636544519051,0.0200442166559182
"Lower San Joaquin River",0.482750456275141,0.0798529687144653,0.12896369595236,0.229613627835892,0.285511957754861,0.193675420579738,0.998826941696771,0.00157964835737453,0.236779386821696,0.407595221393607,0.558897606768616,0.386211820417804,0.108874300900015,0.138204917660296,1.08228579353152,0.428288635983003,22.8701053316098,2.83369888305821,0.320805899030385,0.0130229480330819
"NE Suisun",0.322982453314569,0.0567767189625063,0.118431703453554,0.121067549483857,0.313123319558468,0.0578316892846404,0.0310946900551082,0.0903592846169414,0.417544586885679,0.429055290395121,0.972995299971163,0.0467914463022461,0.800217321100768,0.131596007296962,10.9132705844772,2.29409775847535,21.6223690879142,2.18712564544102,0.45899567787162,0.0208607789349678
"NW Suisun",0.306620246706487,0.0253538039399512,0.125104257161167,0.11456926518082,0.292930113303868,0.0187888602315287,1.72008914548724e-05,5.43939947827243e-05,0.571928162655836,0.324275456933762,0.973236107648737,0.0398167637644922,0.830607810267912,0.132892990282674,13.0649912661292,1.72792210429298,20.2205890381827,2.78264890195182,0.430984360104906,0.0339389632476265
"SE Suisun",0.218124813941651,0.05333897764714,0.070293947371583,0.0830427840236995,0.212834636727197,0.0534864405296022,0.061718521328314,0.112120716096573,0.375602630600026,0.462506756720333,0.977933735519682,0.0464660546152608,0.694509049665022,0.146941552049429,11.617385341623,2.2248147852321,21.785369513749,2.13208654866195,0.795239266565938,0.0375367201063065
"SW Suisun",0.156330871644324,0.0212674922105427,0.0619893103752305,0.0678246720229112,0.154342452561071,0.0202629020205998,8.67245085146846e-06,2.7424697586507e-05,0.426043683636457,0.468282927276331,0.989691892262162,0.0206882271063576,0.673428500201689,0.129454446472474,17.9962971023495,1.73166433074006,21.5474145809271,2.22469882336654,0.890638043617838,0.0707682508503432
"Sacramento River",0.42849518875612,0.0189833181417005,0.122255625596748,0.181468028524574,0.218493050180478,0.190206712642262,1,0,0.303868588222388,0.44038542370552,0.529441062154715,0.44850594543861,0.0141039435942828,0.0224681054262176,0.100320554733101,0.01728676044515,22.6463191793501,3.47310598086572,0.419232981600928,0.033183770476105
"South Delta",0.479972684780305,0.0498556322832009,0.118130750975576,0.204035621511331,0.234408766836978,0.190042041135076,1,0,0.244018919714047,0.396646618429762,0.481371746273525,0.400175996882889,0.121158036172298,0.0730738778796464,0.396578036852934,0.13092748801314,23.2034572982817,3.57431105264226,0.205543009435938,0.0107568898418713
"Suisun Marsh",0.334468271830662,0.0222038035856238,0.145692379443946,0.119809202260849,0.307184468215299,0.0264022294627762,0.0242199103671917,0.0329022265084023,0.497369263509811,0.350921524014949,0.92204293172658,0.0800576614860056,0.770690943279417,0.0903066756315403,8.76226043853494,0.601016436961931,20.9663442395184,2.70181262454483,0.330654715570208,0.0200759732436597
"Yolo Bypass",0.545896398920701,0.00919156740796707,0.16134517722189,0.184569801843731,0.282059286824124,0.168870219884656,1,0,0.316315818190064,0.370349280481798,0.571529055720353,0.327718772788365,0.217664308194322,0.0211985979530458,0.107328730947657,0.0107331093367754,22.6782578820397,3.34978108417046,0.244081433300022,0.0357932331637367
"SummerFall",0.422126053851489,0.155429072316226,0.131221009346317,0.14799195424801,0.349547342543626,0.112990994615604,0.364132999900666,0.408547912254373,0.438803632194929,0.379277984320005,0.887223231532045,0.170922550825238,0.63641915688762,0.200736305559858,7.97547868895277,3.70538108049207,21.3525767702719,2.58791983545093,0.436778005056489,0.0739913381893502
"Delta",0.397026452455122,0.14420806018784,0.116813734929453,0.157203877213226,0.272824050969028,0.151296955253436,0.545681735427809,0.470043710469011,0.357472290874939,0.403559067247363,0.752339116866415,0.341788291998759,0.433624744960057,0.323835914254278,6.18521626152717,6.08248408385765,22.1049251560699,2.8438013706262,0.440338078996758,0.209866913913734
