"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.652702488516531,0.0431624302900862,0.476425545855495,0.177876902004999,0.652103036691092,0.0433777656680466,0.957274128965753,0.0328133235478518,0.754628295210673,0.270288699942356,0.998663980707626,0.00258029912111009,0.54357066549036,0.101173345609824,2.56924833998018,1.00982445998765,20.6152884100137,1.93417728213785,0.555604058025575,0.0333699559911138
"East Delta",0.440513832306124,0.0427316171447865,0.275683172594221,0.148251627189869,0.391056699656398,0.0710264514756613,1,0,0.659743626613557,0.279455132458276,0.893678881929466,0.097143037681939,0.0269378032828979,0.0562535144343682,0.0799247698109341,0.0012293975304905,20.3398004604786,2.74993884417104,0.222337062620728,0.00745185388761302
"Lower Sacramento River",0.635916183047275,0.0355206467993104,0.393100452416048,0.212974197766341,0.634783727125304,0.0346758631003261,0.968434976464028,0.000793416400821947,0.64278104376109,0.323377290205859,0.997349542620599,0.00489602731548862,0.403769072627471,0.0798869581991121,1.70326763914123,0.439252614387882,20.6654762251627,2.26182658103095,0.498007168385772,0.0243592498350261
"Lower San Joaquin River",0.479595516671204,0.0810700344260315,0.210140754762465,0.219653058016405,0.433280969057554,0.113091742894814,1,0,0.387642903254758,0.423574129605917,0.865327467978515,0.1580866138202,0.106137437624796,0.140562748664799,0.265339722101128,0.119081540692029,21.7897157305531,2.4453322049036,0.334127839594451,0.0102395951005916
"NE Suisun",0.520885970727523,0.143362874553843,0.45259133680401,0.164318298645685,0.520469350379576,0.143662125927708,0.512317466655031,0.336529521757548,0.866497340862458,0.189522798502822,0.999091509814114,0.00216222319902464,0.799887645259077,0.131760175113544,6.0724878004647,1.66883210732391,20.3026592872465,1.68905393687701,0.467715779073989,0.0115983995303706
"NW Suisun",0.385902460306156,0.103259224527717,0.336738850862877,0.120460643691123,0.384935538597339,0.103241057682892,0.171690224981037,0.181550153612513,0.906701817570353,0.127929574162222,0.998584948626858,0.00268276093894651,0.830644874573003,0.132844358015186,8.79793845352489,1.61838817777862,19.3305984876724,1.95130450778904,0.479239217634436,0.0296946706127868
"SE Suisun",0.354962528909289,0.0904818402247021,0.303041276255715,0.109035656693479,0.354919085805482,0.0905205890219992,0.451148188919116,0.218039702644647,0.85966680010048,0.196854606311269,0.999864395782727,0.000428818186906535,0.694266562374583,0.147889478594549,6.97067882029177,1.7602404775129,20.3983730338978,1.71857061738414,0.841670460561395,0.0297232900292232
"SW Suisun",0.144634641795023,0.0158137976708568,0.136931840016749,0.0152904706774489,0.144633724830336,0.0158126816520389,0.0207588970403509,0.0291031537718711,0.954878189185996,0.0769579077190771,0.999992144433195,2.48414834157755e-05,0.671816917934493,0.126986000053307,14.2620767386835,1.91507403130029,19.9298451770522,1.75468003971433,0.934583697762823,0.0415497907537943
"Sacramento River",0.422661317747877,0.017154680670299,0.337157376716169,0.0785183466658797,0.421409554351864,0.0162227040445048,1,0,0.903582206420946,0.0986123879221726,0.995534257626599,0.00449217990212101,0.0143234923855186,0.0227907153836954,0.0816094038929319,0.00204511778106589,19.1748442182524,2.73002756316416,0.49061968212228,0.0110815897901154
"South Delta",0.48090024764134,0.0498969188943277,0.169308144413327,0.210366553844199,0.304021092124593,0.175758932890432,1,0,0.352174730277499,0.429597025039133,0.60507107575622,0.357863754947583,0.123392216405446,0.0735463896256828,0.195475629630535,0.0096480937512162,22.2901007785889,3.19691770261561,0.224227117866923,0.00996840223067709
"Suisun Marsh",0.777109606530958,0.0513904382352022,0.63064757820308,0.170159459023674,0.774949619273144,0.0531053941695007,0.846112331285278,0.0634170726117271,0.825046220077304,0.19567036254776,0.994094961921538,0.0115431686630815,0.77137575424483,0.0900698950840623,3.6620370413166,1.01954971718483,19.8727720639238,2.02277290080012,0.352340128828344,0.0185856565697612
"Yolo Bypass",0.549604066993502,0.0133795822002618,0.256127598678478,0.163680776503343,0.401146218177654,0.0892836149097591,1,0,0.500017504106678,0.333406418562196,0.81434311291229,0.143535146974476,0.230730670402948,0.0244927998859221,0.112294532027217,0.00875132455467104,21.0471822790507,2.94102728214699,0.240748929034279,0.01413004952586
"SummerFall",0.61290768460023,0.15639529235715,0.459228106834375,0.200942497196223,0.61169298042172,0.15619224939614,0.735877915424024,0.346340584143268,0.782289344154855,0.25145110212501,0.997173358469155,0.00655716453050063,0.637340091733916,0.200525455527041,4.18312286849072,2.98313814599626,20.1210337966932,2.04485707010788,0.471297643218532,0.0795429952174658
"Delta",0.487115738432733,0.169335554853621,0.331491160631553,0.20371093676953,0.451475718005861,0.186218092235733,0.743978017859216,0.367108728734207,0.717780056453483,0.326536952027721,0.930133023342479,0.165598405084524,0.434737759383785,0.323299330405989,3.7310315742388,4.44640170302187,20.4797213459911,2.39178391485114,0.470101761792583,0.219786385255318
