"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.500735070803721,0.183942707178542,0.243450706844596,0.150714371161865,0.497908996272068,0.182019425382321,0.709719468397428,0.242871122520625,0.564857866061866,0.337690976597234,0.996147792642931,0.00426396104840653,0.542164064314078,0.101708687965218,4.58854959553328,1.93756140315934,20.5992262379523,2.49399006027188,0.529769769871856,0.0260385174068592
"East Delta",0.441068673086103,0.0433276569471915,0.156504093051633,0.212059478511136,0.256902814692927,0.157127428593892,1,0,0.356340314065634,0.465879879232796,0.608059774313026,0.319387267931162,0.0275104378827852,0.0567445174794639,0.085558597132818,0.00518368506641215,22.0414498544618,3.4498615167319,0.212572184769851,0.00855904138725965
"Lower Sacramento River",0.633357435936942,0.0500510484244429,0.248609291316408,0.253634009295368,0.582964827713981,0.0563301078108396,0.966628134818323,0.0433882832449315,0.433954589933265,0.411639114499527,0.93221084461582,0.0794573919448012,0.402864823838092,0.0797812486743959,2.04457578736157,1.02193013681829,21.0436023503231,2.78232181485218,0.476290750112845,0.0233136586274392
"Lower San Joaquin River",0.481572554076623,0.0794453958001271,0.18475610343715,0.238487679508257,0.352855447179817,0.137599259359724,0.999336223448523,0.00132231351079518,0.365365998161846,0.45820116587121,0.68992472708416,0.25349983504437,0.105517897168593,0.139820238159372,0.72130048197311,0.365570906605382,21.7419666182447,3.16873601676342,0.324198858926479,0.0142036892722262
"NE Suisun",0.375866087506936,0.17158105842936,0.264630205433155,0.155172907674738,0.375011511153819,0.170852763979667,0.145543603578698,0.296116508585399,0.714469886327212,0.239469524671766,0.99827595304815,0.00213920116382033,0.799933763916011,0.131558555748203,9.58822649073081,2.80065074479777,20.262478865635,2.32359727138354,0.469238604923271,0.0221361884903843
"NW Suisun",0.332302179588058,0.100098503853225,0.243589490868461,0.107447680930168,0.329740389799299,0.0980335357388582,0.0514314079082854,0.149483837704101,0.807282781333012,0.163088059017036,0.997515120847688,0.00317293096868681,0.830683351581692,0.133096635972197,11.613344928316,2.42317906690484,18.9417669001025,2.52331392522029,0.448696960925848,0.0360921120563229
"SE Suisun",0.257459984308676,0.142690796771293,0.174449279052237,0.122394428412057,0.257282553938,0.142504706008311,0.154999155166584,0.241560293432742,0.688511838214119,0.26414185457437,0.999579198438103,0.000486485600726556,0.693578894952399,0.147487732009809,10.295377798965,2.7634766700995,20.404555311346,2.35893767329706,0.815126595979751,0.0367255048852826
"SW Suisun",0.145699343326174,0.0272458716875008,0.116247466102363,0.0278077614670791,0.145697192028298,0.0272430185736194,0.0176723909933423,0.0553817160875927,0.819322586436955,0.179140931982361,0.999985888505589,3.02832624127874e-05,0.674303370351311,0.12856698481995,16.9172226700625,2.58683435882061,20.0755029175616,2.42562363892088,0.936368225919356,0.0738523659290767
"Sacramento River",0.427141673756147,0.0179284723716582,0.167537790807485,0.186852281425471,0.370827683302999,0.0646457104590359,1,0,0.40097144870182,0.443134120228303,0.915480038667928,0.112210300216569,0.0142428404737527,0.0227564393189519,0.0898855540926094,0.00855158533020784,21.126199048992,3.01232727646921,0.460076253718873,0.0281342635320564
"South Delta",0.480326003419666,0.0497617785847246,0.167601655362919,0.223625137056049,0.222437727509351,0.189811814676778,1,0,0.35092711860588,0.462899110952274,0.450490082332602,0.404286590051453,0.122681953629437,0.0737847663225364,0.270281047498812,0.0869854672415667,22.6745628761893,4.0375314759196,0.225158749151122,0.0120523778994509
"Suisun Marsh",0.466174971933777,0.202335478137499,0.297757745733461,0.171741415260108,0.458046618147785,0.198463102099174,0.327806163047767,0.307750934992321,0.679682115043891,0.249691381196033,0.977965626782176,0.0179607140259671,0.768282161159189,0.0892765277037296,6.78301412694966,1.41346754498051,19.7140478125837,2.61904399542096,0.333406486297702,0.0242118042521797
"Yolo Bypass",0.547867720517822,0.0116588844063095,0.220468174007143,0.214106188118575,0.341053870640125,0.147415001744956,1,0,0.415588670961862,0.411177774287192,0.688263890287121,0.247729495997563,0.220817656285251,0.0211703251873824,0.114872953861476,0.0206224705094997,21.4121252734575,3.66688898720327,0.22703994205512,0.0112607726132821
"SummerFall",0.483142414565624,0.178658942839212,0.258351808690731,0.173474559253243,0.467165207983283,0.16801675598652,0.513896293542951,0.408859773443848,0.621444338093009,0.324813521065349,0.975959846222153,0.0474694591588415,0.635998600223263,0.200456285089617,6.25737110954013,3.95152425051008,20.0746608252404,2.63587343025787,0.447040991802063,0.0774836408437595
"Delta",0.424130974855054,0.164906281133714,0.207133500168084,0.181511324100235,0.349227469364872,0.179083497128858,0.614428045613246,0.444993810665795,0.54977293448728,0.383643700976491,0.854491578130441,0.255427476186383,0.433548434629383,0.323705822406962,5.2593508360398,5.72780318986358,20.8364570055708,2.99059171813838,0.454828615221006,0.219576353916282
