"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.51514745370538,0.175586925642715,0.401304702456996,0.205682177776131,0.51477815174031,0.176073527674479,0.728412993904152,0.302030975997499,0.767514112000248,0.267733601554428,0.998986460094291,0.00182071268283365,0.543481514389798,0.100490020796728,4.32581554972719,2.23951695210168,20.6693194200423,1.78032344907567,0.569482667669502,0.0460838861532422
"East Delta",0.441085587552248,0.0435827036798409,0.185913976890656,0.179754413866183,0.295870769820426,0.152289222034183,1,0,0.463287602208453,0.367041640062387,0.695015646696134,0.287447460643923,0.0276669654787339,0.0574069004230046,0.0923061176760407,0.00592777654205195,21.5831742101156,2.77052699208691,0.211259958869375,0.00565171545649129
"Lower Sacramento River",0.615813130551176,0.0540661605154201,0.368640711396007,0.20558610588257,0.605651431064291,0.0656086474330546,0.927340204421877,0.0592758901196234,0.619378618078581,0.306720386561487,0.985523948428794,0.0295414199543623,0.404234410817953,0.0805462805585206,2.67009565014744,1.33038123153674,20.9390965483617,2.03938810926766,0.498242974582895,0.0246075251043541
"Lower San Joaquin River",0.479115626064827,0.0816688128601217,0.193826721082937,0.220860820573922,0.410008590633279,0.120526475836398,0.99908762975472,0.00147683301146425,0.361822725441907,0.416997153723037,0.831391856521604,0.187292333036081,0.10440408255704,0.141270532994538,0.768508041727474,0.428374007368377,21.9989704832611,2.32835903591748,0.331760450167096,0.0102357542728145
"NE Suisun",0.377636403314669,0.191701991229321,0.323480392421797,0.16636804160074,0.377374858104245,0.19179859296391,0.158968393826351,0.300834728182381,0.864208932719826,0.187906430584145,0.999205914656631,0.00164794788819883,0.799817550183612,0.131390237095034,8.91237306680685,3.16730160530826,20.2899314607506,1.62613720267265,0.470043335859896,0.0119030561198024
"NW Suisun",0.347897943132902,0.138873937502556,0.298218462747558,0.124105846833619,0.347115842020872,0.139077127145281,0.102093552931278,0.245809783831492,0.901468144903643,0.133812676483295,0.998919393801271,0.00203858710114065,0.830663281239604,0.132992219416513,11.6540338125888,3.46211990385085,19.1441095909652,2.07824049908875,0.472146572130658,0.0328586683701163
"SE Suisun",0.263090208129541,0.150951807536266,0.221902128107403,0.119571567581716,0.263073150291721,0.150960042843988,0.198454252717375,0.250044699279168,0.852631855241353,0.201615613112979,0.999902067073829,0.000257935727746174,0.694948016416419,0.147458079642427,9.77415817766778,3.14747165716043,20.4088213270352,1.63022308099646,0.830791921646248,0.0247254615332062
"SW Suisun",0.147606951643534,0.021688753497622,0.136062487005948,0.018181883786829,0.147606184892809,0.0216879494552261,0.0185841334193982,0.0578384852360415,0.935794262845449,0.0987472760797791,0.99999304958686,2.01830567459519e-05,0.673233295365257,0.128170735861633,16.641351784159,3.00003156425537,20.0215933299055,1.70538894872078,0.933558603442334,0.0572763165276633
"Sacramento River",0.425464906733501,0.0182655891562257,0.2190663641838,0.171785461822576,0.375281715723418,0.0630911765639017,0.999999928452161,2.26254132720767e-07,0.541146228488965,0.434359025857896,0.880271585877045,0.195698972542042,0.0141446346159475,0.022625372584645,0.103657507945522,0.0257638854780696,20.6538833922743,3.31664927277258,0.427972302659749,0.0225448291707762
"South Delta",0.481593399507289,0.0500544939312799,0.162602822764181,0.205246805175589,0.296182132931947,0.170867470593618,1,0,0.343761212081534,0.415348908332276,0.598372933685588,0.350670094341736,0.125475073971246,0.0742370178027348,0.315038478762985,0.0640568299244639,22.3474576217761,3.12145029487213,0.227618426815428,0.0140524255280309
"Suisun Marsh",0.477536610268493,0.222378901578374,0.387254141492717,0.181069946896022,0.47599048972404,0.222144198481147,0.352225460796128,0.346231474905058,0.828953939474641,0.187030108854202,0.994050238769947,0.0108656622660491,0.7705635664726,0.0888613960067457,7.09565390072308,3.19235670696215,19.7686019673732,2.03482744658877,0.351948509497614,0.0206381177654991
"Yolo Bypass",0.55005770159177,0.0130582953332338,0.243038577785875,0.167104268894063,0.375976147858509,0.111773143132972,1,0,0.464730534387001,0.341485571264895,0.758829847609087,0.195318211252897,0.233069001265582,0.0228356310519906,0.147246703394124,0.0219630774294112,21.2536488829847,2.98301648509901,0.239821449917521,0.014098237080608
"SummerFall",0.489098784414488,0.181905482809541,0.36385450452332,0.179575361623275,0.485883978637378,0.181256850865838,0.527518053013359,0.411208834359947,0.779328703614278,0.248009829951997,0.994370010273576,0.0161623939162321,0.637235693229989,0.200142449518856,6.43639972829663,4.30754921281268,20.1302818816856,2.04171410878747,0.472955180970167,0.085352493159698
"Delta",0.426837160182944,0.168359631739644,0.261775957361323,0.185999568401493,0.373742455400489,0.179711491341235,0.623763879185287,0.440349058749325,0.662058180655967,0.356974864312189,0.895038578566757,0.206938760018736,0.43514178273115,0.323175315511767,5.20835323261052,5.73500704914464,20.7565506862371,2.41798538020059,0.463720597771526,0.220227552363378
