"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.435411405391501,0.0701475768848479,0.174274097369472,0.228608259789591,0.402727659382043,0.0972324512622078,0.593186703616806,0.169132675634607,0.374640467749833,0.426703058953162,0.931449398127972,0.0863051728820887,0.540836229554459,0.0999960183676551,5.87505317089174,0.791309018071443,21.8983893336049,2.22605700052717,0.521896519230581,0.0241771017591433
"East Delta",0.441341413970908,0.043974085571568,0.095342119315014,0.186380963990311,0.174009939670217,0.198536947273439,1,0,0.213872608465458,0.400634227504726,0.393561290945875,0.434607116550778,0.0279730839343751,0.0579663059082146,0.125214449656284,0.00544686087421844,23.617428453027,3.57709953992123,0.202063069905202,0.00784737898737488
"Lower Sacramento River",0.638822438453098,0.0395801067857961,0.172995229214462,0.265399658558902,0.435247698118528,0.179907057572536,0.947455724956054,0.0199826236105264,0.296794888467945,0.397355055546813,0.72011713088031,0.260628835452055,0.403468578835403,0.0803996328588052,3.50744941493557,0.417822108217467,22.3396525318258,2.50603686627172,0.466162429418565,0.0193468105550979
"Lower San Joaquin River",0.482745909157614,0.0799896714622304,0.126623774409646,0.229792004109332,0.284609637023552,0.193097619859515,0.999900694688547,0.000138855541987886,0.232846806965751,0.407667491111938,0.557163404189443,0.384644210804661,0.108537377779053,0.138287528767781,1.16565023479417,0.224520175078936,22.8761598759362,2.83558529339347,0.322017011344885,0.0131228895026408
"NE Suisun",0.309122307225922,0.0257400950229418,0.11334373077146,0.121523197602586,0.298591489719463,0.0219366782243005,0.00057321913469403,0.00163735782998642,0.4125645597679,0.428325823341882,0.97117750825119,0.0484171169287131,0.800222029201737,0.131570050007176,10.6303898876508,0.889454298233308,21.6520669196958,2.17299368958011,0.45913723595045,0.0205204973477576
"NW Suisun",0.306937404664481,0.0258640054059799,0.124121024375658,0.114601912788765,0.292244630529572,0.0192305752819732,4.91539160918648e-06,1.55438330767095e-05,0.570063392140309,0.324301696881143,0.970686528848092,0.0430155723329418,0.83060629157522,0.132886176799152,13.9407137358311,0.990888063341872,20.2376085295995,2.78555109630394,0.430204984563115,0.0321305252155994
"SE Suisun",0.200523351939553,0.0177398337471428,0.0693590716697175,0.0851197765559613,0.194960831512129,0.0158718031428068,0.0230372884297227,0.0268304763353451,0.370430683254667,0.461875349650367,0.97519420970984,0.0497249143438527,0.694481671385528,0.146964915922708,11.3279866742482,0.889584308237651,21.8175348395055,2.12494655776033,0.797246582673405,0.0345045341578076
"SW Suisun",0.156202834679573,0.0222899684041366,0.0597196273161533,0.0664481190550231,0.153592123364097,0.0208788812112085,0,0,0.418672109662442,0.468593663064026,0.98645386637927,0.0259118501222145,0.673465415477108,0.129512314133892,18.1233450206212,0.810142408880713,21.5818555262714,2.25321141767932,0.890368663512574,0.0702713035531443
"Sacramento River",0.428645775521412,0.0192922111585995,0.120990964828094,0.182169631437241,0.217182682067402,0.191808396293816,1,0,0.301977662929943,0.443432802720411,0.523706325696168,0.457336455891624,0.0140413678177713,0.0223523321806107,0.0954326735496761,0.00410055147513212,22.5625372195825,3.84473271693464,0.413878765373673,0.0139009045963755
"South Delta",0.47996737658457,0.0498415323952521,0.116693466711746,0.20387411393738,0.236705684180071,0.187473165796792,1,0,0.24032790620913,0.396468784270788,0.487365110726265,0.393504576657712,0.120980061135477,0.0730466928813728,0.514563477457384,0.0676203805313265,23.1729516640804,3.60863583809113,0.195651802211693,0.00804291689128214
"Suisun Marsh",0.334979893661509,0.0159747757414025,0.147973409562044,0.125237540471952,0.306683306372414,0.0293574610375479,0.0219715222764207,0.0247498692287394,0.493061058895913,0.348736773646561,0.91835618128611,0.0836055967856429,0.770637367856352,0.0903784959014362,11.2489815092433,0.835527614997751,20.9753483738385,2.72244131359002,0.329707302727102,0.0202184893876718
"Yolo Bypass",0.545690939269767,0.00920890483034749,0.158972085867407,0.182516178556647,0.283131538650771,0.168164838089725,1,0,0.313353189490477,0.36316706663335,0.576378295001554,0.32615083149394,0.216513275675394,0.021354848120433,0.108354912569273,0.00343684437723335,22.7208307511848,3.28356768805004,0.242607268248674,0.0363730097637161
"SummerFall",0.429037785542647,0.138189650926943,0.154840940130409,0.188151045202079,0.359225823600639,0.117305287114838,0.390654716560223,0.413315886139008,0.4336399518135,0.377043034761737,0.885152309785621,0.170664776824687,0.636387116955359,0.20075914704905,8.64304945772541,4.27049987007457,21.3627496922172,2.60291504956356,0.436992808984841,0.0747229953721187
"Delta",0.396699254209992,0.140130332981027,0.123367383450906,0.171752684854458,0.273307268382522,0.153161900324564,0.548844172374488,0.473047084030531,0.353217111166647,0.402217892363672,0.750967437503507,0.341546588435228,0.433480229185656,0.323943847362887,6.38859459678739,6.1744465760958,22.121030334846,2.90116386648613,0.439245136263327,0.211048318280929
