"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.666248763403543,0.0438366542277964,0.517562491139398,0.171263587501529,0.666094323957129,0.0438438266676714,0.981553061153592,0.0109371856143149,0.793067253123982,0.249243337403629,0.999470627423628,0.000946886377229965,0.543403588100974,0.10057628671367,1.78642551367088,0.790311730770703,20.4617930063746,1.92057599622614,0.567169247114573,0.0471787402277447
"East Delta",0.440763701137012,0.043422926397098,0.315267233854334,0.120161063123375,0.400098975624865,0.062993126321845,1,0,0.733402764096421,0.215023033466469,0.912001778829119,0.0764903738581809,0.0274652872196226,0.0570594428587544,0.0810004364045503,0.00156973543980091,20.0938303379691,2.62159433479075,0.239471257466926,0.0124330839159516
"Lower Sacramento River",0.635240237237992,0.036327095307723,0.463607120376399,0.168265002295653,0.635088637078055,0.0362101240016869,0.967850174037189,0.00114221884712383,0.748221718950252,0.262585794860504,0.99964379405686,0.000591072381152897,0.404135796710498,0.0805542956289092,1.05200886076259,0.248398770182059,20.3496101765598,2.1900408115678,0.502982126856896,0.0257757951235161
"Lower San Joaquin River",0.47933113269522,0.0812153184606798,0.248108418943187,0.203554461704785,0.457690409173065,0.0954637869325054,1,0,0.448287205380433,0.392033136145803,0.921297600853428,0.096297792163616,0.104661933344503,0.141021828157053,0.281394974989562,0.126831073284154,21.5152304143432,2.36632461020089,0.335317805625918,0.00958447376086146
"NE Suisun",0.602255213665564,0.186223394499938,0.53064402956157,0.184149334750193,0.601935694814777,0.186586606693694,0.653784731734488,0.296916673979776,0.876316487014867,0.173528811950821,0.999305548537695,0.00154161669834456,0.799846199710124,0.131380739980999,5.25202907485037,1.51415980128672,20.2185447069386,1.69148301776908,0.471999506144457,0.0127231445556918
"NW Suisun",0.460356898126781,0.155346773048185,0.40427787793389,0.158413125659095,0.45947871002101,0.155819741648885,0.383175896482862,0.270550689927147,0.909318915261065,0.122559441568128,0.998962983778815,0.00201231603998192,0.830667944014877,0.133000886638604,7.69642652356697,1.53779138517671,19.1332946068474,2.1185304675539,0.478459908239332,0.0330481560046978
"SE Suisun",0.417919894037583,0.130307197219775,0.360620489427908,0.122157480654559,0.417901617780467,0.130331096543695,0.545044645674364,0.190672549068204,0.868767905883358,0.184479032384091,0.999928384469756,0.000226468191411736,0.6950021027052,0.147359393668045,6.14747355095881,1.56363776950573,20.3202642641627,1.71182609124056,0.837999396599932,0.0243806966255497
"SW Suisun",0.144380865196003,0.0167212633046186,0.135513279315744,0.0143662276423101,0.144380277902419,0.0167205954756735,0.0297597168188606,0.0353553637965995,0.949078918030402,0.0785941010720345,0.999994230594718,1.67488259971286e-05,0.673047416898821,0.12819474946776,13.3001438659581,1.59503965185615,19.9171243902524,1.75826580973831,0.944067259793834,0.0533642360819401
"Sacramento River",0.418871033171622,0.0163110816715095,0.377539582131611,0.0416780557381208,0.418666046638026,0.0162946436569564,1,0,0.954225335366459,0.0496873719989495,0.996878517694256,0.00299589831605709,0.0144363544379074,0.0230302890813269,0.0798950087990193,0.00126454838951985,18.9028962336062,2.54050912504134,0.544077876462009,0.0364150045478784
"South Delta",0.480399625797478,0.0501849772054698,0.188119711725854,0.206399000717242,0.353659890280416,0.139410496493825,1,0,0.38562763818096,0.421267749870653,0.709898558963734,0.268102526979079,0.125434752937999,0.0743541391291335,0.183320359557096,0.0198252399906041,21.9227595003056,3.03376565699306,0.268521040982355,0.0192384652865152
"Suisun Marsh",0.818543777385687,0.0920619875941425,0.66750681421637,0.183400602057466,0.816165237991264,0.092954110437019,0.924652776850258,0.0794386685512081,0.828615644207629,0.189200380133054,0.994176792231463,0.0108525376421066,0.77052648928053,0.0889414987738519,3.28085064525975,1.0617422252381,19.7694981320045,2.06689407018141,0.352594871230264,0.0222169525154136
"Yolo Bypass",0.549982800163204,0.0131816567403196,0.266882999265323,0.156492498419471,0.411235199114,0.0804808470202543,1,0,0.522994807251175,0.318334176565343,0.83589545468601,0.121523004274783,0.233079584206936,0.0232641521620639,0.113510101593661,0.00808231837557932,20.9072845101959,2.89573905144452,0.240918593441205,0.0148507294616411
"SummerFall",0.645097419038501,0.157725539205924,0.513238575916514,0.191412056951318,0.644206727261864,0.157540973669347,0.814307977130975,0.287010749493343,0.819805882885732,0.21341633142504,0.998063549372691,0.00579917234964391,0.63718345452672,0.200196349636322,3.45392788581505,2.7891310896158,19.9285489804466,2.06558928270404,0.475301538360266,0.0851863586256937
"Delta",0.509524495168141,0.182016143520901,0.372970837324299,0.209786248006562,0.481866251697958,0.194355950437753,0.790485083562634,0.332274545450852,0.75149371606225,0.301323366775531,0.947287856009957,0.12415918083422,0.435142287463999,0.323130783381292,3.27120657636428,4.08547580970952,20.2926775232967,2.3313139659587,0.481964907496475,0.217297359461204
