"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.542120721754093,0.167187643918148,0.257687872470861,0.171352239762237,0.53860190188656,0.165382018724955,0.79013847002072,0.197841456545604,0.548404470677227,0.354337544330491,0.995183944739269,0.00577235910744616,0.542765040842702,0.0995589202731455,4.06013078342217,1.66286968683773,20.6079002542997,2.57231931119534,0.525257061973449,0.0255733718409916
"East Delta",0.440695480064696,0.0425593027634961,0.155542141388415,0.212326153602809,0.259182911558177,0.153081551718693,1,0,0.353593716060743,0.467732011113553,0.612970657252734,0.313248430425037,0.0271632770973175,0.0560074496024697,0.0841274255496768,0.00352143452416797,22.0179543245076,3.48827438803896,0.210806369028242,0.00995359283509641
"Lower Sacramento River",0.647080845466519,0.0470953494469123,0.25727568456409,0.268419225475655,0.592245831861656,0.0717904336019476,0.986832452825481,0.0189488352875552,0.438410646849638,0.407754835403571,0.926001500332978,0.0847416183972701,0.403825076630342,0.0802242749769804,1.77176912015642,0.79640033326821,20.9765488616782,2.81902619534122,0.468649896086867,0.019929923467835
"Lower San Joaquin River",0.482684167290793,0.0805708307852525,0.184741895661583,0.239776938675469,0.35090714633771,0.139700021258492,0.999920804752291,0.000201241320878041,0.364110961664739,0.459428830770884,0.683168419608983,0.259919721690447,0.10598341119646,0.14170823704283,0.617605776413943,0.296508491299301,21.7187594812461,3.24805296409908,0.321769546286796,0.0146635550050804
"NE Suisun",0.395490931267514,0.177134083590478,0.268637226484416,0.16259593398336,0.393942423201503,0.176229525254759,0.185186271160409,0.306343628359685,0.687785854156723,0.265895062478863,0.997412657353168,0.00319675507346229,0.799797225277637,0.131682123538718,8.95694817458001,2.40278741549733,20.2875483590128,2.42304787489038,0.467798302419348,0.0232298231861401
"NW Suisun",0.335614971601709,0.104282237586206,0.236505394043289,0.112990635117456,0.331969059106496,0.102048671181416,0.1220097156697,0.179514866240674,0.782412742928726,0.184950335138809,0.995954954695564,0.00583695014164956,0.830722564106768,0.133007149760237,10.5183363231883,1.70026381043493,18.8291366924622,2.81627583583698,0.439329621669723,0.0323433074498358
"SE Suisun",0.271924650884822,0.141474674795526,0.175673927033079,0.125352956500231,0.271592801341405,0.141270787032977,0.186587324263022,0.240930837198376,0.654426732690321,0.300257434290612,0.999320184549086,0.000929763537341984,0.693703437492851,0.147243119954514,9.65518961257392,2.35815408145157,20.4472317832311,2.439607136263,0.808054890671449,0.0391289278112766
"SW Suisun",0.142403457141329,0.0248461899207821,0.106154859301593,0.0294723995053272,0.142398464853617,0.024838882416654,0.00491345746944138,0.0144337344066896,0.772702403599829,0.221535129715708,0.999973818799313,6.38799666104603e-05,0.675288843562614,0.129249626850341,16.3912990036114,1.94938468830383,20.1585308158617,2.49659692058411,0.944796812634487,0.071965929170008
"Sacramento River",0.42750237089134,0.0176673324030104,0.165471833565102,0.18765552049934,0.369805743576324,0.0648310025057039,1,0,0.392186188187098,0.445542032930588,0.916065597823804,0.110086705526326,0.0141521194270831,0.0225136590482131,0.0867026950027598,0.00614482043208868,21.1214368333265,3.06044370413615,0.458228904295323,0.0288007607945907
"South Delta",0.480178033440109,0.0500736772140248,0.167612794500638,0.224259532830999,0.220181202686155,0.191890018136395,1,0,0.350815965190499,0.463376615443494,0.446376499259705,0.406472130272327,0.122636899816093,0.0740138035025074,0.25558508668031,0.0802456872340294,22.6454834988986,4.13090785354226,0.226844635897402,0.0131659368449462
"Suisun Marsh",0.535675057365604,0.191712730874691,0.339848759738703,0.197731251808249,0.52491952045174,0.18927799296911,0.486022981475367,0.272556889400396,0.669520552372013,0.263248659471209,0.973868939837244,0.0238100759849032,0.769811989352398,0.089935309337998,6.0987134534684,0.885331940422023,19.6733224312962,2.80708966817052,0.330984099645259,0.0239486717814072
"Yolo Bypass",0.549505622068888,0.0107501973288159,0.232444427570317,0.203462557963965,0.349537310190692,0.141238476922707,1,0,0.426591950107521,0.400182888476328,0.692221361666831,0.24254725824391,0.22192961951796,0.0200366217863446,0.11666280910739,0.0197851067394991,21.2650194985012,3.63036905511682,0.220931288854103,0.0116301942772858
"SummerFall",0.515122899046981,0.175999477059173,0.272829427704236,0.192306988770195,0.496934078326613,0.167705352090584,0.596250904997817,0.378462837337098,0.609687103206901,0.329061758554269,0.972752334901264,0.0512968549441105,0.636781167733052,0.200213023997174,5.61223742005883,3.50206481338393,20.0217270599341,2.77979656341119,0.441055169843825,0.0757421239335621
"Delta",0.437573025769785,0.167685551383897,0.212299734693507,0.189757142177137,0.362107026421003,0.185833883441507,0.646800956469703,0.426666053361475,0.53674684870709,0.384434930960378,0.853209877993223,0.255163873492212,0.433981625360019,0.323892906369857,4.88442252197956,5.37528374052689,20.8124060695268,3.06449462274409,0.451954285788537,0.220735762430344
