"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.670349185647081,0.0575148507582666,0.19622534173136,0.29511565684531,0.368964424836682,0.291243295762214,0.989204013954912,0.0159357476835855,0.327057150641679,0.466343004934677,0.589578965455736,0.448847512991541,0.539747531445148,0.101784310705791,2.09165444745179,0.717008286950795,22.227221342627,3.28701923001458,0.519170934574339,0.0317131852406543
"East Delta",0.441473487560182,0.0444583558427499,0.209118087896716,0.195143661787145,0.326381628271772,0.141598801008272,1,0,0.4780660450085,0.419711693534538,0.742245084172924,0.267584356339355,0.028242610727262,0.0581668696643931,0.0824360556791368,0.00246013660044186,21.2286394128934,3.5539521239986,0.231997413597772,0.0124926113664758
"Lower Sacramento River",0.648025584432115,0.0421550205994714,0.228059610985848,0.286684507909765,0.407984997271787,0.267718689748351,1,0,0.364765103963504,0.447294470963347,0.63759259716628,0.429950000221337,0.403161816314659,0.0801224235881435,0.648142327210495,0.258029989442861,21.831464114359,3.38872233202438,0.470306156587295,0.026181940734912
"Lower San Joaquin River",0.481876874909017,0.079280933719478,0.158763275889209,0.249422627879663,0.262043940638731,0.253751882715992,1,0,0.308154490238716,0.477147534411831,0.495301349475458,0.469486894001751,0.106511403448877,0.138370273459871,0.337950680377657,0.147388470950379,22.8360025952611,3.48883986829213,0.322584236230867,0.016784885040525
"NE Suisun",0.48016983428022,0.153493126791943,0.123625424613444,0.179084747724198,0.304054543774004,0.198909660356781,0.427994675531168,0.273657437859412,0.325317688324961,0.466585648117011,0.653043594507696,0.39352684443865,0.800264748022832,0.13144629544259,6.5063494091823,1.18529160963642,22.0721743888173,2.98329198728102,0.454360099498038,0.024893852681696
"NW Suisun",0.328484461469802,0.0719215573651134,0.0976678668750792,0.12237305271745,0.2408629289088,0.0829380405304272,0.0655711466064815,0.140547348037804,0.506276434729802,0.3473516286481,0.83338583983086,0.193846891880491,0.830428407224256,0.133067967286198,9.57369487831843,1.15837853912147,20.7051505584333,2.87816909649365,0.444914683273982,0.0365155411968285
"SE Suisun",0.348098003953381,0.115161436493175,0.0839173470979348,0.126202002340502,0.2101900069782,0.148886697582601,0.403768487583701,0.168250644028624,0.315693024404564,0.473435340983625,0.652762505932861,0.39688655742964,0.694680810785727,0.146603684877926,7.4360904560272,1.20367391349882,22.0939659592221,3.00659597251432,0.810992272073557,0.0432279616309599
"SW Suisun",0.154930450608063,0.0209233244310398,0.0575017604739071,0.0619610445091815,0.139066950949326,0.0254750085730607,0.00379287934192807,0.00640530232807376,0.415917168016232,0.448621510920668,0.910785836745748,0.117847844523248,0.671308028116224,0.130011826102962,15.48907480618,1.04670013303318,21.2523210850371,2.82123624085607,0.886991752498788,0.0717792640967371
"Sacramento River",0.422532930541778,0.0166170150639836,0.259869281710498,0.15190660749602,0.383494833296822,0.0489217720748085,1,0,0.656106652155648,0.366176185414988,0.951611629512371,0.0778423414883782,0.0143963527257481,0.022897249106389,0.0792085554932385,0.000977797731025084,19.8905084452667,3.19193561769918,0.527941358146405,0.0364626503224272
"South Delta",0.480089020188113,0.0495681473360151,0.163238817805519,0.220490020683417,0.233272086658688,0.199834069128488,1,0,0.345512681398169,0.450656475351271,0.496061391377097,0.399647745800213,0.123878681391809,0.072821133731966,0.203839807034066,0.0293831887606393,22.7403667512615,3.71635518246438,0.244705887923255,0.0204794467597621
"Suisun Marsh",0.538721661590783,0.171215438291341,0.187899851807516,0.17595008313025,0.350454415975128,0.133307785412498,0.495277753334279,0.229459634983639,0.454628264993728,0.386778692681079,0.762109468762004,0.262817685221692,0.770290562326802,0.0895868015042112,6.00785065578178,0.874453552636498,21.0753775822547,3.15794713698217,0.334326244975256,0.0255132636887847
"Yolo Bypass",0.546802097128475,0.0118459539692778,0.213390198455948,0.21632856988173,0.300975012299097,0.197274270375832,1,0,0.388058075767216,0.425493547834129,0.574761249905974,0.400650140278055,0.220034733685418,0.0201256268050047,0.106537760525131,0.00515367646799485,21.9240601581666,3.93294706844764,0.222748978801114,0.0133528091391875
"SummerFall",0.546395223284945,0.167065544671924,0.177463167849951,0.228193351469774,0.342066691748099,0.213884908618811,0.637513228473918,0.413808158755766,0.413181738582178,0.404831462208573,0.70566671780372,0.351291453107297,0.635907079327716,0.201007563605382,4.58033557719062,3.61781862040684,21.4598033994185,3.118773832155,0.442179504852718,0.0745354398860095
"Delta",0.461796132692417,0.158349258971461,0.164939738778582,0.200929125190089,0.29397881415492,0.191819707164093,0.698800746362706,0.396707506972293,0.40712939830356,0.424467891306748,0.691603292737084,0.360185649703653,0.433578807184563,0.323448151083897,4.0469024866051,4.84836316112652,21.6564376994667,3.25019019091923,0.455920001515056,0.208115882647528
