"Region","BevHSIR.mn","BevHSIR.sd","HSIR.mn","HSIR.sd","HSIR_24.mn","HSIR_24.sd","Fr.Sal6.mn2","Fr.Sal6.sd","Fr.Temp22.mn2","Fr.Temp22.sd","Fr.Temp24.mn2","Fr.Temp24.sd","Pr.Turb12.mn2","Pr.Turb12.sd","Sal.mn2","Sal.sd","Temp.mn2","Temp.sd","MaxSpd.mn2","MaxSpd.sd"
"Confluence",0.671580136779259,0.0570913280322447,0.19613212883908,0.29516201620621,0.369019944931938,0.29131004470089,0.990289493123983,0.0145690409894061,0.326799488257311,0.46650458363968,0.589383590793106,0.449010142585922,0.539755905689638,0.101787732505643,2.03645723530455,0.723955595258161,22.2308587941481,3.28616254870078,0.518975774761755,0.0316038550153685
"East Delta",0.441471451460745,0.0444606593398362,0.208982462420454,0.195036308157951,0.326293476939587,0.141998748963442,1,0,0.477906938521653,0.419506450091191,0.74212240222506,0.268484463881796,0.0282426019311501,0.0581668752267492,0.0823109078328486,0.00229820550938254,21.2299705146844,3.55504642629905,0.232114565440629,0.01295378003963
"Lower Sacramento River",0.647980582575085,0.0420959593680219,0.227716299468761,0.286581744377016,0.407860720054501,0.267888066745427,1,0,0.364234314863071,0.447314062044582,0.63733915261752,0.429920130379211,0.403161816314659,0.0801224235881435,0.631300913535314,0.259938619371294,21.8324307438565,3.38701163284699,0.470327378036498,0.0261633823237506
"Lower San Joaquin River",0.481880411785395,0.0792739520799197,0.158717503339263,0.249449322305686,0.261869684305784,0.25346638955307,1,0,0.308096451860275,0.477182729694091,0.494999824574738,0.469166546984063,0.106525529634536,0.138348784792708,0.322004826872161,0.137936672644538,22.8381047116967,3.48888921922122,0.32256067648972,0.0167888797634654
"NE Suisun",0.49231277182616,0.16196801535812,0.124034491613972,0.179492591119353,0.306781176560501,0.199287461000171,0.448814844105017,0.278098856113929,0.325340041810706,0.46657152341603,0.652751675014395,0.393871271396265,0.800264748022832,0.13144629544259,6.39779421016518,1.21578347280827,22.0730056178812,2.98326203949971,0.454367313132,0.0247937385265353
"NW Suisun",0.347115365523149,0.101554056255002,0.0988255201977243,0.121679311598577,0.252194081088715,0.0846547817194008,0.110713718334363,0.201591888310236,0.506168963609326,0.347483111287019,0.833808476978452,0.193162586494227,0.830422337468849,0.133061851715887,9.43872779982813,1.21075718282456,20.704987527188,2.87789801106078,0.445069599977764,0.0367204168043798
"SE Suisun",0.35660371083403,0.120090525200798,0.0840727556817252,0.126351788706728,0.211742104489018,0.149371429909541,0.417434926357147,0.170691416242922,0.315763754599021,0.473385733806277,0.652957655441764,0.396504480151734,0.69468830639363,0.146619839643398,7.331526496236,1.23696649441201,22.0945780099688,3.0063853543034,0.811081563377689,0.0432341461415584
"SW Suisun",0.15499385784523,0.0208387892231012,0.0575798389335067,0.0619259703070216,0.13932440459606,0.025313576950538,0.0047153242683148,0.00777258339047654,0.416565814037403,0.448310102931117,0.911969744390809,0.116141712906802,0.671323891327076,0.130025497474643,15.3858914964121,1.08577305735082,21.247563355457,2.81740124002385,0.887193285298878,0.0718623626364885
"Sacramento River",0.422414238794333,0.0164207189623732,0.259159331465274,0.152887514231297,0.384174448583458,0.0494493659253909,1,0,0.654731609224387,0.368607383038888,0.952247105435746,0.0785511828015724,0.0144075868855538,0.0229164092230247,0.0791900702964681,0.000968244934761702,19.8928545578957,3.19530664151912,0.528447936519807,0.0382838135289631
"South Delta",0.480111469331034,0.0495697157215564,0.163284431047052,0.22043672836859,0.233791360458811,0.198719028481761,1,0,0.345498176756456,0.450560146016707,0.498320096373892,0.396095967633235,0.123969667458858,0.072853201362171,0.198543200093565,0.0272468297800143,22.7298023536426,3.7067987364473,0.245156760330141,0.0207912721162317
"Suisun Marsh",0.564417498119019,0.193690363828025,0.192460362614362,0.175452609052614,0.3644402522458,0.127311917357958,0.539212036340902,0.259616856866431,0.454649262729821,0.38673456661121,0.762317339330926,0.262652192879544,0.770273576655268,0.0894697525962352,5.86469973955186,0.91241493456696,21.0755797565633,3.15742212621713,0.334180154596352,0.025381898592884
"Yolo Bypass",0.546890468693817,0.0119118875594647,0.213756350049268,0.216076568115042,0.301233780672889,0.197091194317817,1,0,0.388613636698981,0.42524857085262,0.574662297171858,0.400924475662884,0.220497944749156,0.0199975769405156,0.106491402607723,0.0051864934355023,21.9194156917289,3.92659656223187,0.222568033628964,0.0124410973915285
"SummerFall",0.557773395749128,0.17028246990786,0.178783577779982,0.227940047963281,0.348378749580238,0.212116265538591,0.660053811949812,0.404596507443228,0.412963007364882,0.404920319016647,0.705712139930001,0.351292654754375,0.635903409032103,0.200989552785438,4.49279642205497,3.57664102739079,21.460964205439,3.11821933764259,0.442138226843092,0.0745422539587375
"Delta",0.467314330297271,0.162085083298815,0.16539345630587,0.200884432774263,0.296560452910588,0.19163877483292,0.709265028544144,0.390648613854276,0.407030704414034,0.424513830432058,0.691906613362355,0.359911012942922,0.433627826044267,0.323410102261629,3.98957819156132,4.8071437338741,21.6557626362259,3.24834406561087,0.456003586799183,0.208175872419357
