"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"AN","Confluence","0.515 (-0.227)","0.666 (0)",0.666,"0.665 (-0.002)","0.665 (-0.002)","0.665 (-0.002)","0.666 (0)"
"AN","East Delta","0.441 (0)","0.441 (0)",0.441,"0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)"
"AN","Lower Sacramento River","0.616 (-0.03)","0.637 (0.003)",0.635,"0.635 (0)","0.635 (0)","0.635 (0)","0.635 (0)"
"AN","Lower San Joaquin River","0.479 (0)","0.479 (0)",0.479,"0.479 (0)","0.479 (0)","0.479 (0)","0.479 (0)"
"AN","NE Suisun","0.378 (-0.372)","0.572 (-0.05)",0.602,"0.595 (-0.012)","0.595 (-0.012)","0.601 (-0.002)","0.611 (0.015)"
"AN","NW Suisun","0.348 (-0.243)","0.407 (-0.115)",0.46,"0.456 (-0.009)","0.456 (-0.009)","0.463 (0.007)","0.469 (0.02)"
"AN","SE Suisun","0.263 (-0.371)","0.408 (-0.024)",0.418,"0.411 (-0.017)","0.411 (-0.017)","0.417 (-0.002)","0.425 (0.017)"
"AN","SW Suisun","0.148 (0.028)","0.149 (0.035)",0.144,"0.143 (-0.007)","0.143 (-0.007)","0.145 (0.007)","0.145 (0.007)"
"AN","Sacramento River","0.425 (0.014)","0.424 (0.012)",0.419,"0.418 (-0.002)","0.418 (-0.002)","0.418 (-0.002)","0.418 (-0.002)"
"AN","South Delta","0.482 (0.004)","0.481 (0.002)",0.48,"0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)"
"AN","Suisun Marsh","0.478 (-0.416)","0.66 (-0.194)",0.819,"0.823 (0.005)","0.823 (0.005)","0.824 (0.006)","0.828 (0.011)"
"AN","Yolo Bypass","0.55 (0)","0.55 (0)",0.55,"0.55 (0)","0.55 (0)","0.55 (0)","0.55 (0)"
"AN","SummerFall","0.489 (-0.242)","0.593 (-0.081)",0.645,"0.645 (0)","0.645 (0)","0.647 (0.003)","0.65 (0.008)"
"AN","Delta","0.427 (-0.163)","0.49 (-0.039)",0.51,"0.508 (-0.004)","0.508 (-0.004)","0.51 (0)","0.512 (0.004)"
"BN","Confluence","0.28 (-0.534)","0.674 (0.121)",0.601,"0.585 (-0.027)","0.585 (-0.027)","0.598 (-0.005)","0.598 (-0.005)"
"BN","East Delta","0.441 (0)","0.441 (0)",0.441,"0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)"
"BN","Lower Sacramento River","0.433 (-0.332)","0.649 (0.002)",0.648,"0.648 (0)","0.648 (0)","0.648 (0)","0.648 (0)"
"BN","Lower San Joaquin River","0.46 (-0.046)","0.482 (0)",0.482,"0.482 (0)","0.482 (0)","0.482 (0)","0.482 (0)"
"BN","NE Suisun","0.31 (-0.281)","0.451 (0.046)",0.431,"0.423 (-0.019)","0.423 (-0.019)","0.423 (-0.019)","0.423 (-0.019)"
"BN","NW Suisun","0.305 (-0.167)","0.305 (-0.167)",0.366,"0.336 (-0.082)","0.336 (-0.082)","0.336 (-0.082)","0.336 (-0.082)"
"BN","SE Suisun","0.199 (-0.345)","0.323 (0.063)",0.304,"0.297 (-0.023)","0.297 (-0.023)","0.299 (-0.016)","0.298 (-0.02)"
"BN","SW Suisun","0.153 (0.034)","0.147 (-0.007)",0.148,"0.148 (0)","0.148 (0)","0.148 (0)","0.147 (-0.007)"
"BN","Sacramento River","0.427 (0.009)","0.427 (0.009)",0.423,"0.423 (0)","0.423 (0)","0.423 (0)","0.423 (0)"
"BN","South Delta","0.48 (0.004)","0.48 (0.004)",0.478,"0.478 (0)","0.478 (0)","0.478 (0)","0.478 (0)"
"BN","Suisun Marsh","0.354 (-0.52)","0.472 (-0.36)",0.738,"0.726 (-0.016)","0.726 (-0.016)","0.748 (0.014)","0.75 (0.016)"
"BN","Yolo Bypass","0.548 (0.002)","0.547 (0)",0.547,"0.547 (0)","0.547 (0)","0.547 (0)","0.547 (0)"
"BN","SummerFall","0.343 (-0.417)","0.525 (-0.107)",0.588,"0.574 (-0.024)","0.574 (-0.024)","0.583 (-0.009)","0.583 (-0.009)"
"BN","Delta","0.366 (-0.216)","0.45 (-0.036)",0.467,"0.461 (-0.013)","0.461 (-0.013)","0.464 (-0.006)","0.464 (-0.006)"
"C","Confluence","0.235 (-0.325)","0.435 (0.25)",0.348,"0.355 (0.02)","0.442 (0.27)","0.434 (0.247)","0.44 (0.264)"
"C","East Delta","0.441 (0)","0.441 (0)",0.441,"0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)"
"C","Lower Sacramento River","0.268 (-0.563)","0.639 (0.042)",0.613,"0.616 (0.005)","0.613 (0)","0.596 (-0.028)","0.607 (-0.01)"
"C","Lower San Joaquin River","0.385 (-0.203)","0.483 (0)",0.483,"0.483 (0)","0.483 (0)","0.482 (-0.002)","0.483 (0)"
"C","NE Suisun","0.313 (0.013)","0.309 (0)",0.309,"0.309 (0)","0.318 (0.029)","0.32 (0.036)","0.323 (0.045)"
"C","NW Suisun","0.309 (0.007)","0.307 (0)",0.307,"0.307 (0)","0.307 (0)","0.307 (0)","0.307 (0)"
"C","SE Suisun","0.206 (0.035)","0.201 (0.01)",0.199,"0.199 (0)","0.215 (0.08)","0.216 (0.085)","0.218 (0.095)"
"C","SW Suisun","0.165 (0.051)","0.156 (-0.006)",0.157,"0.157 (0)","0.156 (-0.006)","0.156 (-0.006)","0.156 (-0.006)"
"C","Sacramento River","0.411 (-0.042)","0.429 (0)",0.429,"0.429 (0)","0.429 (0)","0.429 (0)","0.428 (-0.002)"
"C","South Delta","0.479 (-0.002)","0.48 (0)",0.48,"0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)"
"C","Suisun Marsh","0.332 (0.003)","0.335 (0.012)",0.331,"0.331 (0)","0.334 (0.009)","0.334 (0.009)","0.334 (0.009)"
