"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"AN","Confluence","0.515 +/- 0.176","0.666 +/- 0.045","0.666 +/- 0.044","0.665 +/- 0.044","0.665 +/- 0.044","0.665 +/- 0.044","0.666 +/- 0.044"
"AN","East Delta","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043"
"AN","Lower Sacramento River","0.616 +/- 0.054","0.637 +/- 0.037","0.635 +/- 0.036","0.635 +/- 0.036","0.635 +/- 0.036","0.635 +/- 0.036","0.635 +/- 0.036"
"AN","Lower San Joaquin River","0.479 +/- 0.082","0.479 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081"
"AN","NE Suisun","0.378 +/- 0.192","0.572 +/- 0.191","0.602 +/- 0.186","0.595 +/- 0.183","0.595 +/- 0.182","0.601 +/- 0.191","0.611 +/- 0.189"
"AN","NW Suisun","0.348 +/- 0.139","0.407 +/- 0.174","0.46 +/- 0.155","0.456 +/- 0.148","0.456 +/- 0.148","0.463 +/- 0.157","0.469 +/- 0.159"
"AN","SE Suisun","0.263 +/- 0.151","0.408 +/- 0.145","0.418 +/- 0.13","0.411 +/- 0.125","0.411 +/- 0.125","0.417 +/- 0.136","0.425 +/- 0.135"
"AN","SW Suisun","0.148 +/- 0.022","0.149 +/- 0.025","0.144 +/- 0.017","0.143 +/- 0.016","0.143 +/- 0.016","0.145 +/- 0.018","0.145 +/- 0.017"
"AN","Sacramento River","0.425 +/- 0.018","0.424 +/- 0.017","0.419 +/- 0.016","0.418 +/- 0.017","0.418 +/- 0.017","0.418 +/- 0.017","0.418 +/- 0.017"
"AN","South Delta","0.482 +/- 0.05","0.481 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05"
"AN","Suisun Marsh","0.478 +/- 0.222","0.66 +/- 0.18","0.819 +/- 0.092","0.823 +/- 0.082","0.823 +/- 0.081","0.824 +/- 0.082","0.828 +/- 0.08"
"AN","Yolo Bypass","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013"
"AN","SummerFall","0.489 +/- 0.182","0.593 +/- 0.165","0.645 +/- 0.158","0.645 +/- 0.158","0.645 +/- 0.158","0.647 +/- 0.158","0.65 +/- 0.157"
"AN","Delta","0.427 +/- 0.168","0.49 +/- 0.172","0.51 +/- 0.182","0.508 +/- 0.182","0.508 +/- 0.182","0.51 +/- 0.183","0.512 +/- 0.184"
"BN","Confluence","0.28 +/- 0.105","0.674 +/- 0.05","0.601 +/- 0.136","0.585 +/- 0.148","0.585 +/- 0.149","0.598 +/- 0.136","0.598 +/- 0.136"
"BN","East Delta","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.043","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.043","0.441 +/- 0.043"
"BN","Lower Sacramento River","0.433 +/- 0.138","0.649 +/- 0.042","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041"
"BN","Lower San Joaquin River","0.46 +/- 0.084","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08"
"BN","NE Suisun","0.31 +/- 0.026","0.451 +/- 0.081","0.431 +/- 0.192","0.423 +/- 0.176","0.423 +/- 0.177","0.423 +/- 0.176","0.423 +/- 0.176"
"BN","NW Suisun","0.305 +/- 0.026","0.305 +/- 0.024","0.366 +/- 0.125","0.336 +/- 0.085","0.336 +/- 0.085","0.336 +/- 0.086","0.336 +/- 0.085"
