"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"AN","Confluence","0.401 +/- 0.206","0.482 +/- 0.188","0.518 +/- 0.171","0.521 +/- 0.171","0.521 +/- 0.171","0.526 +/- 0.169","0.524 +/- 0.17"
"AN","East Delta","0.186 +/- 0.18","0.199 +/- 0.177","0.315 +/- 0.12","0.321 +/- 0.114","0.321 +/- 0.114","0.322 +/- 0.114","0.322 +/- 0.114"
"AN","Lower Sacramento River","0.369 +/- 0.206","0.376 +/- 0.212","0.464 +/- 0.168","0.472 +/- 0.161","0.472 +/- 0.162","0.48 +/- 0.157","0.479 +/- 0.159"
"AN","Lower San Joaquin River","0.194 +/- 0.221","0.194 +/- 0.223","0.248 +/- 0.204","0.253 +/- 0.203","0.253 +/- 0.203","0.254 +/- 0.202","0.253 +/- 0.203"
"AN","NE Suisun","0.323 +/- 0.166","0.503 +/- 0.205","0.531 +/- 0.184","0.515 +/- 0.174","0.515 +/- 0.174","0.536 +/- 0.196","0.546 +/- 0.197"
"AN","NW Suisun","0.298 +/- 0.124","0.357 +/- 0.171","0.404 +/- 0.158","0.394 +/- 0.146","0.394 +/- 0.146","0.408 +/- 0.163","0.415 +/- 0.167"
"AN","SE Suisun","0.222 +/- 0.12","0.349 +/- 0.142","0.361 +/- 0.122","0.352 +/- 0.117","0.352 +/- 0.117","0.366 +/- 0.132","0.373 +/- 0.134"
"AN","SW Suisun","0.136 +/- 0.018","0.139 +/- 0.019","0.136 +/- 0.014","0.132 +/- 0.017","0.132 +/- 0.017","0.137 +/- 0.015","0.137 +/- 0.015"
"AN","Sacramento River","0.219 +/- 0.172","0.284 +/- 0.133","0.378 +/- 0.042","0.382 +/- 0.035","0.382 +/- 0.035","0.384 +/- 0.034","0.384 +/- 0.035"
"AN","South Delta","0.163 +/- 0.205","0.162 +/- 0.207","0.188 +/- 0.206","0.192 +/- 0.205","0.192 +/- 0.205","0.193 +/- 0.205","0.193 +/- 0.205"
"AN","Suisun Marsh","0.387 +/- 0.181","0.542 +/- 0.197","0.668 +/- 0.183","0.673 +/- 0.175","0.673 +/- 0.176","0.681 +/- 0.174","0.684 +/- 0.176"
"AN","Yolo Bypass","0.243 +/- 0.167","0.253 +/- 0.164","0.267 +/- 0.156","0.267 +/- 0.156","0.267 +/- 0.156","0.267 +/- 0.156","0.267 +/- 0.156"
"AN","SummerFall","0.364 +/- 0.18","0.439 +/- 0.2","0.513 +/- 0.191","0.515 +/- 0.188","0.515 +/- 0.188","0.524 +/- 0.189","0.525 +/- 0.19"
"AN","Delta","0.262 +/- 0.186","0.32 +/- 0.215","0.373 +/- 0.21","0.373 +/- 0.207","0.373 +/- 0.207","0.38 +/- 0.212","0.381 +/- 0.213"
"BN","Confluence","0.208 +/- 0.129","0.442 +/- 0.227","0.403 +/- 0.144","0.386 +/- 0.132","0.388 +/- 0.13","0.401 +/- 0.137","0.401 +/- 0.138"
"BN","East Delta","0.146 +/- 0.207","0.147 +/- 0.207","0.242 +/- 0.17","0.237 +/- 0.17","0.239 +/- 0.168","0.244 +/- 0.169","0.244 +/- 0.17"
"BN","Lower Sacramento River","0.235 +/- 0.203","0.333 +/- 0.273","0.38 +/- 0.264","0.377 +/- 0.264","0.378 +/- 0.263","0.381 +/- 0.264","0.38 +/- 0.265"
"BN","Lower San Joaquin River","0.204 +/- 0.23","0.213 +/- 0.235","0.239 +/- 0.238","0.237 +/- 0.237","0.237 +/- 0.237","0.24 +/- 0.238","0.24 +/- 0.238"
"BN","NE Suisun","0.252 +/- 0.059","0.36 +/- 0.132","0.308 +/- 0.042","0.304 +/- 0.037","0.305 +/- 0.038","0.305 +/- 0.038","0.304 +/- 0.037"
"BN","NW Suisun","0.257 +/- 0.049","0.253 +/- 0.055","0.287 +/- 0.057","0.271 +/- 0.051","0.271 +/- 0.051","0.271 +/- 0.051","0.271 +/- 0.05"
"BN","SE Suisun","0.166 +/- 0.038","0.253 +/- 0.09","0.213 +/- 0.041","0.209 +/- 0.038","0.209 +/- 0.039","0.211 +/- 0.039","0.21 +/- 0.038"
"BN","SW Suisun","0.147 +/- 0.023","0.14 +/- 0.02","0.14 +/- 0.021","0.141 +/- 0.021","0.141 +/- 0.021","0.14 +/- 0.021","0.14 +/- 0.02"
"BN","Sacramento River","0.181 +/- 0.19","0.231 +/- 0.164","0.331 +/- 0.102","0.329 +/- 0.102","0.331 +/- 0.1","0.334 +/- 0.101","0.333 +/- 0.102"
"BN","South Delta","0.16 +/- 0.221","0.16 +/- 0.221","0.172 +/- 0.218","0.17 +/- 0.218","0.17 +/- 0.218","0.172 +/- 0.218","0.172 +/- 0.218"
"BN","Suisun Marsh","0.284 +/- 0.051","0.38 +/- 0.061","0.576 +/- 0.088","0.572 +/- 0.1","0.572 +/- 0.1","0.594 +/- 0.109","0.595 +/- 0.108"
"BN","Yolo Bypass","0.232 +/- 0.188","0.238 +/- 0.188","0.257 +/- 0.182","0.256 +/- 0.182","0.256 +/- 0.182","0.257 +/- 0.182","0.257 +/- 0.182"
"BN","SummerFall","0.246 +/- 0.124","0.352 +/- 0.189","0.412 +/- 0.186","0.402 +/- 0.187","0.402 +/- 0.187","0.412 +/- 0.194","0.412 +/- 0.195"
"BN","Delta","0.206 +/- 0.153","0.262 +/- 0.191","0.296 +/- 0.185","0.291 +/- 0.183","0.291 +/- 0.183","0.296 +/- 0.187","0.296 +/- 0.188"
"C","Confluence","0.081 +/- 0.101","0.174 +/- 0.229","0.112 +/- 0.14","0.112 +/- 0.138","0.106 +/- 0.13","0.1 +/- 0.12","0.103 +/- 0.123"
"C","East Delta","0.088 +/- 0.175","0.095 +/- 0.186","0.096 +/- 0.187","0.096 +/- 0.187","0.096 +/- 0.187","0.094 +/- 0.187","0.095 +/- 0.186"
"C","Lower Sacramento River","0.072 +/- 0.099","0.173 +/- 0.265","0.164 +/- 0.251","0.164 +/- 0.25","0.157 +/- 0.241","0.143 +/- 0.218","0.151 +/- 0.225"
"C","Lower San Joaquin River","0.097 +/- 0.18","0.127 +/- 0.23","0.128 +/- 0.23","0.128 +/- 0.23","0.129 +/- 0.23","0.128 +/- 0.228","0.129 +/- 0.23"
"C","NE Suisun","0.116 +/- 0.123","0.113 +/- 0.122","0.115 +/- 0.122","0.115 +/- 0.122","0.117 +/- 0.121","0.118 +/- 0.122","0.118 +/- 0.121"
"C","NW Suisun","0.124 +/- 0.116","0.124 +/- 0.115","0.124 +/- 0.115","0.124 +/- 0.115","0.125 +/- 0.115","0.125 +/- 0.115","0.125 +/- 0.115"
"C","SE Suisun","0.071 +/- 0.086","0.069 +/- 0.085","0.068 +/- 0.083","0.068 +/- 0.083","0.07 +/- 0.083","0.07 +/- 0.083","0.07 +/- 0.083"
"C","SW Suisun","0.062 +/- 0.071","0.06 +/- 0.066","0.061 +/- 0.067","0.061 +/- 0.067","0.062 +/- 0.068","0.062 +/- 0.068","0.062 +/- 0.068"
"C","Sacramento River","0.079 +/- 0.155","0.121 +/- 0.182","0.121 +/- 0.182","0.121 +/- 0.182","0.122 +/- 0.182","0.116 +/- 0.179","0.122 +/- 0.181"
"C","South Delta","0.119 +/- 0.2","0.117 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204"
"C","Suisun Marsh","0.143 +/- 0.12","0.148 +/- 0.125","0.146 +/- 0.12","0.146 +/- 0.12","0.146 +/- 0.12","0.146 +/- 0.12","0.146 +/- 0.12"
"C","Yolo Bypass","0.168 +/- 0.173","0.159 +/- 0.183","0.159 +/- 0.183","0.159 +/- 0.182","0.158 +/- 0.182","0.162 +/- 0.184","0.161 +/- 0.185"
"C","SummerFall","0.105 +/- 0.109","0.155 +/- 0.188","0.137 +/- 0.161","0.137 +/- 0.16","0.134 +/- 0.155","0.129 +/- 0.145","0.131 +/- 0.148"
"C","Delta","0.102 +/- 0.136","0.123 +/- 0.172","0.118 +/- 0.161","0.118 +/- 0.161","0.117 +/- 0.159","0.115 +/- 0.156","0.117 +/- 0.157"
"D","Confluence","0.26 +/- 0.248","0.332 +/- 0.251","0.258 +/- 0.171","0.257 +/- 0.171","0.257 +/- 0.171","0.259 +/- 0.172","0.26 +/- 0.175"
"D","East Delta","0.161 +/- 0.206","0.152 +/- 0.213","0.156 +/- 0.212","0.156 +/- 0.212","0.156 +/- 0.212","0.156 +/- 0.212","0.156 +/- 0.212"
"D","Lower Sacramento River","0.261 +/- 0.274","0.253 +/- 0.276","0.257 +/- 0.268","0.257 +/- 0.268","0.257 +/- 0.268","0.257 +/- 0.268","0.258 +/- 0.269"
"D","Lower San Joaquin River","0.183 +/- 0.241","0.182 +/- 0.241","0.185 +/- 0.24","0.185 +/- 0.24","0.185 +/- 0.24","0.185 +/- 0.24","0.185 +/- 0.24"
"D","NE Suisun","0.234 +/- 0.132","0.36 +/- 0.213","0.269 +/- 0.163","0.269 +/- 0.163","0.269 +/- 0.163","0.265 +/- 0.159","0.262 +/- 0.156"
