"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"AN","Confluence","0.518 +/- 0.171","0.462 +/- 0.16","0.521 +/- 0.171","0.521 +/- 0.171","0.526 +/- 0.169","0.524 +/- 0.17","0.476 +/- 0.178","0.519 +/- 0.167"
"AN","East Delta","0.315 +/- 0.12","0.322 +/- 0.109","0.321 +/- 0.114","0.321 +/- 0.114","0.322 +/- 0.114","0.322 +/- 0.114","0.276 +/- 0.148","0.329 +/- 0.105"
"AN","Lower Sacramento River","0.464 +/- 0.168","0.46 +/- 0.179","0.472 +/- 0.161","0.472 +/- 0.162","0.48 +/- 0.157","0.479 +/- 0.159","0.393 +/- 0.213","0.481 +/- 0.16"
"AN","Lower San Joaquin River","0.248 +/- 0.204","0.247 +/- 0.204","0.253 +/- 0.203","0.253 +/- 0.203","0.254 +/- 0.202","0.253 +/- 0.203","0.21 +/- 0.22","0.252 +/- 0.204"
"AN","NE Suisun","0.531 +/- 0.184","0.358 +/- 0.185","0.515 +/- 0.174","0.515 +/- 0.174","0.536 +/- 0.196","0.546 +/- 0.197","0.453 +/- 0.164","0.495 +/- 0.194"
"AN","NW Suisun","0.404 +/- 0.158","0.32 +/- 0.132","0.394 +/- 0.146","0.394 +/- 0.146","0.408 +/- 0.163","0.415 +/- 0.167","0.337 +/- 0.12","0.395 +/- 0.144"
"AN","SE Suisun","0.361 +/- 0.122","0.242 +/- 0.125","0.352 +/- 0.117","0.352 +/- 0.117","0.366 +/- 0.132","0.373 +/- 0.134","0.303 +/- 0.109","0.336 +/- 0.126"
"AN","SW Suisun","0.136 +/- 0.014","0.137 +/- 0.016","0.132 +/- 0.017","0.132 +/- 0.017","0.137 +/- 0.015","0.137 +/- 0.015","0.137 +/- 0.015","0.138 +/- 0.016"
"AN","Sacramento River","0.378 +/- 0.042","0.377 +/- 0.044","0.382 +/- 0.035","0.382 +/- 0.035","0.384 +/- 0.034","0.384 +/- 0.035","0.337 +/- 0.079","0.385 +/- 0.034"
"AN","South Delta","0.188 +/- 0.206","0.19 +/- 0.208","0.192 +/- 0.205","0.192 +/- 0.205","0.193 +/- 0.205","0.193 +/- 0.205","0.169 +/- 0.21","0.19 +/- 0.207"
"AN","Suisun Marsh","0.668 +/- 0.183","0.468 +/- 0.203","0.673 +/- 0.175","0.673 +/- 0.176","0.681 +/- 0.174","0.684 +/- 0.176","0.631 +/- 0.17","0.671 +/- 0.17"
"AN","Yolo Bypass","0.267 +/- 0.156","0.263 +/- 0.159","0.267 +/- 0.156","0.267 +/- 0.156","0.267 +/- 0.156","0.267 +/- 0.156","0.256 +/- 0.164","0.264 +/- 0.158"
"AN","SummerFall","0.513 +/- 0.191","0.428 +/- 0.176","0.515 +/- 0.188","0.515 +/- 0.188","0.524 +/- 0.189","0.525 +/- 0.19","0.459 +/- 0.201","0.516 +/- 0.185"
"AN","Delta","0.373 +/- 0.21","0.321 +/- 0.182","0.373 +/- 0.207","0.373 +/- 0.207","0.38 +/- 0.212","0.381 +/- 0.213","0.331 +/- 0.204","0.371 +/- 0.206"
"BN","Confluence","0.403 +/- 0.144","0.433 +/- 0.16","0.386 +/- 0.132","0.388 +/- 0.13","0.401 +/- 0.137","0.401 +/- 0.138","0.408 +/- 0.205","0.387 +/- 0.13"
"BN","East Delta","0.242 +/- 0.17","0.251 +/- 0.177","0.237 +/- 0.17","0.239 +/- 0.168","0.244 +/- 0.169","0.244 +/- 0.17","0.218 +/- 0.191","0.239 +/- 0.168"
"BN","Lower Sacramento River","0.38 +/- 0.264","0.383 +/- 0.264","0.377 +/- 0.264","0.378 +/- 0.263","0.381 +/- 0.264","0.38 +/- 0.265","0.356 +/- 0.284","0.378 +/- 0.263"
"BN","Lower San Joaquin River","0.239 +/- 0.238","0.247 +/- 0.243","0.237 +/- 0.237","0.237 +/- 0.237","0.24 +/- 0.238","0.24 +/- 0.238","0.229 +/- 0.24","0.237 +/- 0.237"
"BN","NE Suisun","0.308 +/- 0.042","0.304 +/- 0.029","0.304 +/- 0.037","0.305 +/- 0.038","0.305 +/- 0.038","0.304 +/- 0.037","0.349 +/- 0.118","0.304 +/- 0.037"
"BN","NW Suisun","0.287 +/- 0.057","0.264 +/- 0.035","0.271 +/- 0.051","0.271 +/- 0.051","0.271 +/- 0.051","0.271 +/- 0.05","0.255 +/- 0.053","0.271 +/- 0.051"
"BN","SE Suisun","0.213 +/- 0.041","0.217 +/- 0.035","0.209 +/- 0.038","0.209 +/- 0.039","0.211 +/- 0.039","0.21 +/- 0.038","0.241 +/- 0.086","0.209 +/- 0.038"
"BN","SW Suisun","0.14 +/- 0.021","0.141 +/- 0.02","0.141 +/- 0.021","0.141 +/- 0.021","0.14 +/- 0.021","0.14 +/- 0.02","0.139 +/- 0.02","0.141 +/- 0.021"
"BN","Sacramento River","0.331 +/- 0.102","0.332 +/- 0.104","0.329 +/- 0.102","0.331 +/- 0.1","0.334 +/- 0.101","0.333 +/- 0.102","0.306 +/- 0.129","0.331 +/- 0.1"
"BN","South Delta","0.172 +/- 0.218","0.179 +/- 0.217","0.17 +/- 0.218","0.17 +/- 0.218","0.172 +/- 0.218","0.172 +/- 0.218","0.17 +/- 0.218","0.171 +/- 0.218"
"BN","Suisun Marsh","0.576 +/- 0.088","0.428 +/- 0.044","0.572 +/- 0.1","0.572 +/- 0.1","0.594 +/- 0.109","0.595 +/- 0.108","0.606 +/- 0.138","0.571 +/- 0.1"
"BN","Yolo Bypass","0.257 +/- 0.182","0.26 +/- 0.183","0.256 +/- 0.182","0.256 +/- 0.182","0.257 +/- 0.182","0.257 +/- 0.182","0.253 +/- 0.185","0.256 +/- 0.182"
"BN","SummerFall","0.412 +/- 0.186","0.377 +/- 0.166","0.402 +/- 0.187","0.402 +/- 0.187","0.412 +/- 0.194","0.412 +/- 0.195","0.406 +/- 0.224","0.402 +/- 0.186"
"BN","Delta","0.296 +/- 0.185","0.287 +/- 0.171","0.291 +/- 0.183","0.291 +/- 0.183","0.296 +/- 0.187","0.296 +/- 0.188","0.294 +/- 0.204","0.291 +/- 0.183"
"C","Confluence","0.112 +/- 0.14","0.098 +/- 0.113","0.112 +/- 0.138","0.106 +/- 0.13","0.1 +/- 0.12","0.103 +/- 0.123","0.098 +/- 0.112","0.1 +/- 0.117"
"C","East Delta","0.096 +/- 0.187","0.097 +/- 0.189","0.096 +/- 0.187","0.096 +/- 0.187","0.094 +/- 0.187","0.095 +/- 0.186","0.098 +/- 0.189","0.098 +/- 0.189"
"C","Lower Sacramento River","0.164 +/- 0.251","0.121 +/- 0.163","0.164 +/- 0.25","0.157 +/- 0.241","0.143 +/- 0.218","0.151 +/- 0.225","0.127 +/- 0.174","0.13 +/- 0.18"
"C","Lower San Joaquin River","0.128 +/- 0.23","0.127 +/- 0.217","0.128 +/- 0.23","0.129 +/- 0.23","0.128 +/- 0.228","0.129 +/- 0.23","0.129 +/- 0.223","0.128 +/- 0.222"
"C","NE Suisun","0.115 +/- 0.122","0.129 +/- 0.116","0.115 +/- 0.122","0.117 +/- 0.121","0.118 +/- 0.122","0.118 +/- 0.121","0.129 +/- 0.116","0.122 +/- 0.118"
"C","NW Suisun","0.124 +/- 0.115","0.133 +/- 0.111","0.124 +/- 0.115","0.125 +/- 0.115","0.125 +/- 0.115","0.125 +/- 0.115","0.133 +/- 0.111","0.132 +/- 0.111"
"C","SE Suisun","0.068 +/- 0.083","0.074 +/- 0.08","0.068 +/- 0.083","0.07 +/- 0.083","0.07 +/- 0.083","0.07 +/- 0.083","0.074 +/- 0.08","0.071 +/- 0.081"
"C","SW Suisun","0.061 +/- 0.067","0.067 +/- 0.067","0.061 +/- 0.067","0.062 +/- 0.068","0.062 +/- 0.068","0.062 +/- 0.068","0.067 +/- 0.067","0.065 +/- 0.067"
"C","Sacramento River","0.121 +/- 0.182","0.12 +/- 0.178","0.121 +/- 0.182","0.122 +/- 0.182","0.116 +/- 0.179","0.122 +/- 0.181","0.123 +/- 0.181","0.121 +/- 0.182"
